count,audio,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,instructText,order of stories,order of perspectives,text_38.started,text_38.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_39.started,text_39.stopped,text_33.started,text_33.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_4.started,text_4.stopped,image.started,image.stopped,text_5.started,text_5.stopped,text_37.started,text_37.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,question1_2.started,question1_2.stopped,question2_2.started,question2_2.stopped,question3_2.started,question3_2.stopped,question4_2.started,question4_2.stopped,question5_2.started,question5_2.stopped,question6_2.started,question6_2.stopped,image_15.started,image_15.stopped,text_49.started,text_49.stopped,key_resp_15.keys,key_resp_15.rt,key_resp_15.started,key_resp_15.stopped,text_50.started,text_50.stopped,key_resp_14.keys,key_resp_14.rt,key_resp_14.started,key_resp_14.stopped,sound_1.started,sound_1.stopped,pic1.started,pic1.stopped,story_presses.keys,story_presses.rt,story_presses.started,story_presses.stopped,image_2.started,image_2.stopped,text_34.started,text_34.stopped,text_35.started,text_35.stopped,text.started,text.stopped,text_52.started,text_52.stopped,key_resp_16.keys,key_resp_16.rt,key_resp_16.started,key_resp_16.stopped,story time,text_45.started,text_45.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,parcelated_audio/44/44_27.aiff,0,3,3,3,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4156.84379363223,None,4156.84359572205,None,9,0.4670103350072168,4163.811330049008,None,4163.811330049008,None,4163.811330049008,None,4163.811330049008,None,,,,,,,,,,,,,,,,l,001,2019_Sep_25_0014,body_behavioural,3.2.1,59.81924217192472,
3,parcelated_audio/44/44_28.aiff,0,3,3,3,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4164.393859872245,None,4164.39459896402,None,1,4.1406853860244155,4175.628906558035,None,4175.628906558035,None,4175.628906558035,None,4175.628906558035,None,,,,,,,,,,,,,,,,l,001,2019_Sep_25_0014,body_behavioural,3.2.1,59.81924217192472,
3,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4179.8453868890065,None,4179.8453868890065,None,space,0.8976244379882701,4179.8453868890065,None,,,,,,,,l,001,2019_Sep_25_0014,body_behavioural,3.2.1,59.81924217192472,
4,,0,4,4,4,0,0,0,0,,,,,,,,,,,,4180.778739891015,None,space,0.3120176550000906,4180.778739891015,None,4180.778739891015,None,4181.1125469690305,None,space,0.3743129500071518,4181.1125469690305,None,4181.595098569,None,4181.595098569,None,4181.595098569,None,4182.52842579002,None,space,1.1144478159840219,4182.52842579002,None,4183.945432434033,None,4183.945432434033,None,4183.945432434033,None,4183.945432434033,None,4183.945432434033,None,4183.945432434033,None,4183.945432434033,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,001,2019_Sep_25_0014,body_behavioural,3.2.1,59.81924217192472,
4,parcelated_audio/21/21_1.aiff,0,4,4,4,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,4187.313267031044,None,4187.313267031044,None,4187.313267031044,None,,,,,,,,,,,,,,,,,,,,,4186.878775711055,None,space,0.3534927120199427,4186.878775711055,None,4187.813024569012,None,space,0.7304624349926598,4187.813024569012,None,4188.695492647239,None,4188.695713159046,None,1,1.3593849770259112,4200.063742066035,None,4200.063742066035,None,4200.063742066035,None,4200.063742066035,None,,,,,,,,,,,,,,,,l,001,2019_Sep_25_0014,body_behavioural,3.2.1,59.81924217192472,
4,parcelated_audio/21/21_2.aiff,0,4,4,4,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4201.513332985225,None,4201.512847704056,None,9,0.27566571498755366,4208.913456174021,None,4208.913456174021,None,4208.913456174021,None,4208.913456174021,None,,,,,,,,,,,,,,,,l,001,2019_Sep_25_0014,body_behavioural,3.2.1,59.81924217192472,
4,parcelated_audio/21/21_3.aiff,0,4,4,4,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4209.280218237254,None,4209.280759769026,None,9,0.23970168002415448,4216.947292244004,None,4216.947292244004,None,4216.947292244004,None,4216.947292244004,None,,,,,,,,,,,,,,,,l,001,2019_Sep_25_0014,body_behavioural,3.2.1,59.81924217192472,
4,parcelated_audio/21/21_4.aiff,0,4,4,4,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4217.2810730632045,None,4217.281887536054,None,9,0.24457232496934012,4228.299231611018,None,4228.299231611018,None,4228.299231611018,None,4228.299231611018,None,,,,,,,,,,,,,,,,l,001,2019_Sep_25_0014,body_behavioural,3.2.1,59.81924217192472,
4,parcelated_audio/21/21_5.aiff,0,4,4,4,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4228.632322330202,None,4228.631691314047,None,9,0.2558228150010109,4233.6663674060255,None,4233.6663674060255,None,4233.6663674060255,None,4233.6663674060255,None,,,,,,,,,,,,,,,,l,001,2019_Sep_25_0014,body_behavioural,3.2.1,59.81924217192472,
4,parcelated_audio/21/21_6.aiff,0,4,4,4,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4234.015771140228,None,4234.015337632038,None,9,0.24028724897652864,4242.133183156024,None,4242.133183156024,None,4242.133183156024,None,4242.133183156024,None,,,,,,,,,,,,,,,,l,001,2019_Sep_25_0014,body_behavioural,3.2.1,59.81924217192472,
4,parcelated_audio/21/21_7.aiff,0,4,4,4,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4242.466835149215,None,4242.466861214023,None,9,0.26677544601261616,4246.966470606043,None,4246.966470606043,None,4246.966470606043,None,4246.966470606043,None,,,,,,,,,,,,,,,,l,001,2019_Sep_25_0014,body_behavioural,3.2.1,59.81924217192472,
4,parcelated_audio/21/21_8.aiff,0,4,4,4,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4247.333511885256,None,4247.333935761009,None,9,0.4394161229720339,4258.200318534044,None,4258.200318534044,None,4258.200318534044,None,4258.200318534044,None,,,,,,,,,,,,,,,,l,001,2019_Sep_25_0014,body_behavioural,3.2.1,59.81924217192472,
4,parcelated_audio/21/21_9.aiff,0,4,4,4,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4258.75140698225,None,4258.751053719025,None,9,0.3693093729671091,4266.133614972001,None,4266.133614972001,None,4266.133614972001,None,4266.133614972001,None,,,,,,,,,,,,,,,,l,001,2019_Sep_25_0014,body_behavioural,3.2.1,59.81924217192472,
