count,audio,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,key_resp_15.keys,key_resp_15.rt,key_resp_14.keys,key_resp_14.rt,story_presses.keys,story_presses.rt,key_resp_16.keys,key_resp_16.rt,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,questions time,key_resp_13.keys,key_resp_13.rt,participant,session,date,expName,psychopyVersion,frameRate,
1,parcelated_audio/21/21_13.aiff,,0,1,1,1,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.8367070799995417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,090419_p1,001,2019_Sep_04_0934,body_behavioural,3.0.4,60.042843450477434,
1,parcelated_audio/21/21_14.aiff,,0,1,1,1,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.9373629379988415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,090419_p1,001,2019_Sep_04_0934,body_behavioural,3.0.4,60.042843450477434,
1,parcelated_audio/21/21_15.aiff,,0,1,1,1,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.1024026800005231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,090419_p1,001,2019_Sep_04_0934,body_behavioural,3.0.4,60.042843450477434,
1,parcelated_audio/21/21_16.aiff,,0,1,1,1,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.9532225879993348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,090419_p1,001,2019_Sep_04_0934,body_behavioural,3.0.4,60.042843450477434,
1,parcelated_audio/21/21_17.aiff,,0,1,1,1,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.120609987001444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,090419_p1,001,2019_Sep_04_0934,body_behavioural,3.0.4,60.042843450477434,
1,parcelated_audio/21/21_18.aiff,,0,1,1,1,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.7191100440013543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,090419_p1,001,2019_Sep_04_0934,body_behavioural,3.0.4,60.042843450477434,
1,parcelated_audio/21/21_19.aiff,,0,1,1,1,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7.45344859800025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,090419_p1,001,2019_Sep_04_0934,body_behavioural,3.0.4,60.042843450477434,
1,parcelated_audio/21/21_20.aiff,,0,1,1,1,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0833532670003478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,090419_p1,001,2019_Sep_04_0934,body_behavioural,3.0.4,60.042843450477434,
1,parcelated_audio/21/21_21.aiff,,0,1,1,1,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.05200202800006082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,090419_p1,001,2019_Sep_04_0934,body_behavioural,3.0.4,60.042843450477434,
1,parcelated_audio/21/21_22.aiff,,0,1,1,1,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.01859609600069234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,090419_p1,001,2019_Sep_04_0934,body_behavioural,3.0.4,60.042843450477434,
1,parcelated_audio/21/21_23.aiff,,0,1,1,1,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.1691156279994175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,090419_p1,001,2019_Sep_04_0934,body_behavioural,3.0.4,60.042843450477434,
1,parcelated_audio/21/21_24.aiff,,0,1,1,1,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.5700216350014671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,090419_p1,001,2019_Sep_04_0934,body_behavioural,3.0.4,60.042843450477434,
1,parcelated_audio/21/21_25.aiff,,0,1,1,1,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.32021917199926975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,090419_p1,001,2019_Sep_04_0934,body_behavioural,3.0.4,60.042843450477434,
1,parcelated_audio/21/21_26.aiff,,0,1,1,1,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.6685432680005761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,090419_p1,001,2019_Sep_04_0934,body_behavioural,3.0.4,60.042843450477434,
1,parcelated_audio/21/21_27.aiff,,0,1,1,1,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.03652115499971842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,090419_p1,001,2019_Sep_04_0934,body_behavioural,3.0.4,60.042843450477434,
1,parcelated_audio/21/21_28.aiff,,0,1,1,1,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.38637413900141837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,090419_p1,001,2019_Sep_04_0934,body_behavioural,3.0.4,60.042843450477434,
1,parcelated_audio/21/21_29.aiff,,0,1,1,1,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.4367189900003723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,090419_p1,001,2019_Sep_04_0934,body_behavioural,3.0.4,60.042843450477434,
1,parcelated_audio/21/21_30.aiff,,0,1,1,1,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.6677123850004136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,090419_p1,001,2019_Sep_04_0934,body_behavioural,3.0.4,60.042843450477434,
1,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.2196381199992175,,,,,,,,,,,,,,,,,,,,,,,,,,,,090419_p1,001,2019_Sep_04_0934,body_behavioural,3.0.4,60.042843450477434,
2,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.252535858000556,space,0.6198513049985195,space,0.9213446439989639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,090419_p1,001,2019_Sep_04_0934,body_behavioural,3.0.4,60.042843450477434,
2,parcelated_audio/33/33_1.aiff,,0,2,2,2,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.86928986500061,space,2.75262008000027,9,0.4015942879996146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,090419_p1,001,2019_Sep_04_0934,body_behavioural,3.0.4,60.042843450477434,
2,parcelated_audio/33/33_2.aiff,,0,2,2,2,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.05274576800002251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,090419_p1,001,2019_Sep_04_0934,body_behavioural,3.0.4,60.042843450477434,
