count,storyText,locationEvent,socialEvent,story,locationEventSize,socialEventSize,socialAnswer,locationAnswer,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,recall,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,questions time,participant,session,date,expName,psychopyVersion,frameRate,
0,"As they were rushing to put their shoes and coats on, they shared when they were coming back. ",2,2,None,,,,,,0,0,0,0,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,1,6.90345562499715,,,,,,,,,,,,,,,,,,,060719_p1,001,2019_Jun_07_1232,body_behavioural_mayedit,3.0.4,60.08420741983443,
0,"In a moment of boldness, David asked, “When we're back in town next Tuesday, is there any chance you'd want to get dinner?",2,3,None,,,,,,0,0,0,0,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,9,13.08716178999748,,,,,,,,,,,,,,,,,,,060719_p1,001,2019_Jun_07_1232,body_behavioural_mayedit,3.0.4,60.08420741983443,
0,"I know we just met, but when life throws a luggage cart at you it seems like we should listen. “",2,3,None,,,,,,0,0,0,0,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,1,4.053263581998181,,,,,,,,,,,,,,,,,,,060719_p1,001,2019_Jun_07_1232,body_behavioural_mayedit,3.0.4,60.08420741983443,
0,"She stopped packing, and said with a smile, “Yes I would love that.”",2,3,None,,,,,,0,0,0,0,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,1,6.220059701998252,,,,,,,,,,,,,,,,,,,060719_p1,001,2019_Jun_07_1232,body_behavioural_mayedit,3.0.4,60.08420741983443,
0,"On the concourse, they were running to get to Anna’s gate, J37, which was at the end of the terminal. ",3,3,None,,,,,,0,0,0,0,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,1,9.32003371004248,,,,,,,,,,,,,,,,,,,060719_p1,001,2019_Jun_07_1232,body_behavioural_mayedit,3.0.4,60.08420741983443,
0,"David took her suitcase, grabbed her hand, and weaved crowd of people.",3,3,None,,,,,,0,0,0,0,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,1,4.753146662027575,,,,,,,,,,,,,,,,,,,060719_p1,001,2019_Jun_07_1232,body_behavioural_mayedit,3.0.4,60.08420741983443,
0,People passing them were giving them funny looks because Anna looked so bewildered.,3,3,None,,,,,,0,0,0,0,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,1,2.8366865750285797,,,,,,,,,,,,,,,,,,,060719_p1,001,2019_Jun_07_1232,body_behavioural_mayedit,3.0.4,60.08420741983443,
0,"Before getting to the gate, explaining that she would sprint the rest of the way, Anna fished out a crumpled business card from her pocket and handed it to David, who handed her the suitcase.",3,4,None,,,,,,0,0,0,0,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,1,11.170357119990513,,,,,,,,,,,,,,,,,,,060719_p1,001,2019_Jun_07_1232,body_behavioural_mayedit,3.0.4,60.08420741983443,
0,"She gave him one last embarrassed smile, thanked him, and hurried away.",3,4,None,,,,,,0,0,0,0,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,1,2.936427309992723,,,,,,,,,,,,,,,,,,,060719_p1,001,2019_Jun_07_1232,body_behavioural_mayedit,3.0.4,60.08420741983443,
0,"David looked at his watch which read 10:55 AM, 5 minutes before her flight was supposed to leave. ",3,4,None,,,,,,0,0,0,0,,,,,0,32,32,32,,,,,,,,,,,,,,,,,,,1,7.136463716975413,,,,,,,,,,,,,,,,,,,060719_p1,001,2019_Jun_07_1232,body_behavioural_mayedit,3.0.4,60.08420741983443,
