count,storyText,locationEvent,socialEvent,story,locationEventSize,socialEventSize,socialAnswer,locationAnswer,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,recall,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,participant,session,date,expName,psychopyVersion,frameRate,
0,"“Yes!” she shouted, and jumped to embrace Alex in a hug. ",3.0,4.0,None,,,,,,0,0,0,0,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,1,1.6862276379979448,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
0,Everyone in line clapped and cheered. ,3.0,4.0,None,,,,,,0,0,0,0,,,,,0,32,32,32,,,,,,,,,,,,,,,,,,,1,1.1530525300040608,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
0,"Alex put the ring on Chloe’s finger, who was nearly spinning in excitement.",3.0,4.0,None,,,,,,0,0,0,0,,,,,0,33,33,33,,,,,,,,,,,,,,,,,,,9,2.136485922994325,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
0,"“I love it, oh my gosh, it’s so glittery!",3.0,4.0,None,,,,,,0,0,0,0,,,,,0,34,34,34,,,,,,,,,,,,,,,,,,,1,0.903057510004146,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
0,Look at this!” she said as she shoved her hand in a stranger’s face.,3.0,4.0,None,,,,,,0,0,0,0,,,,,0,35,35,35,,,,,,,,,,,,,,,,,,,1,1.2507031400018604,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
0,Her friends came over and hugged them.,3.0,4.0,None,,,,,,0,0,0,0,,,,,0,36,36,36,,,,,,,,,,,,,,,,,,,1,1.7193739530048333,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
0,The other people let them move up to the front of the checkout line. ,3.0,4.0,None,,,,,,0,0,0,0,,,,,0,37,37,37,,,,,,,,,,,,,,,,,,,1,1.7864064080058597,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
0,Chloe immediately texted her mom a picture of her hand. ,3.0,4.0,None,,,,,,0,0,0,0,,,,,0,38,38,38,,,,,,,,,,,,,,,,,,,9,10.586584930002573,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
0,The cashier congratulated them and scanned their cranberry sauce. ,4.0,4.0,None,,,,,,0,0,0,0,,,,,0,39,39,39,,,,,,,,,,,,,,,,,,,1,2.686457977993996,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
0,The total came to $14 and Alex paid in cash while Chloe greeted their friends.,4.0,4.0,None,,,,,,0,0,0,0,,,,,0,40,40,40,,,,,,,,,,,,,,,,,,,1,3.3031385549984407,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
