count,storyText,locationEvent,socialEvent,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,order of stories,order of perspectives,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,participant,session,date,expName,psychopyVersion,frameRate,
0,I don’t want this to end. ,4,4,,0,0,0,0,,,,,0,34,34,34,,,,,,,,,,,,,,,,,1,1.1864175999944564,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
0,"But if this is what you think is best, I can’t make it otherwise.” ",4,4,,0,0,0,0,,,,,0,35,35,35,,,,,,,,,,,,,,,,,1,5.636846350011183,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
0,"They hugged one last time, and Maria ran off to get her things from her dorm.",4,4,,0,0,0,0,,,,,0,36,36,36,,,,,,,,,,,,,,,,,1,5.020060718001332,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
0,Henry sadly watched her go. ,4,4,,0,0,0,0,,,,,0,37,37,37,,,,,,,,,,,,,,,,,1,1.7865512699936517,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
1,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,space,5.486502168001607,space,1.3364357220125385,space,2.819821396988118,,,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
1,Mr. Shelton and Mr. Gordon shook hands inside the foyer of the restaurant: lunch today was about big business. ,1,1,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,9,16.404381497006398,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
1,Mr. Shelton and Mr. Gordon both were CEOs of airplane manufacturing companies.,1,1,,0,1,1,1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,1,4.0038327499933075,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
1,"Mr. Shelton was in charge of a larger, well-established company and had been in the aviation business for decades.",1,1,,0,1,1,1,,,,,0,2,2,2,,,,,,,,,,,,,,,,,1,7.202947081997991,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
1,"On the other hand, Mr. Gordon led a smaller but technologically-advanced company that was projected to disrupt the airplane manufacturing market. ",1,1,,0,1,1,1,,,,,0,3,3,3,,,,,,,,,,,,,,,,,1,5.486391320009716,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
1,"The restaurant they chose to meet at was old and fancy with high ceilings, dark wood paneling, and crystal chandeliers.",1,1,,0,1,1,1,,,,,0,4,4,4,,,,,,,,,,,,,,,,,9,9.953352697019,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
1,"The waitress led them to their table in the back, and they settled into a private table in the corner by the fireplace. ",2,1,,0,1,1,1,,,,,0,5,5,5,,,,,,,,,,,,,,,,,1,4.503230917005567,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
1,The waitress brought out the menus and they broke the ice with some small talk.,2,1,,0,1,1,1,,,,,0,6,6,6,,,,,,,,,,,,,,,,,1,5.036758190020919,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
1,"Mr. Gordon took out a picture of his daughter and talked about her recent engagement, and Mr. Gordon boasted about his purchase of a Tesla. ",2,1,,0,1,1,1,,,,,0,7,7,7,,,,,,,,,,,,,,,,,1,10.87072358999285,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
1,"They looked at the menus as well, which were full of Italian classics like Carbonara and Tiramisu, and in the back section of the menu was a lengthy drink selection.",2,1,,0,1,1,1,,,,,0,8,8,8,,,,,,,,,,,,,,,,,1,10.953972049988806,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
1,"After awhile, Mr. Shelton brought the conversation around to business.",2,2,,0,1,1,1,,,,,0,9,9,9,,,,,,,,,,,,,,,,,9,3.0862792620027903,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
1,"“Mr. Gordon, we really admire what you’re doing at your company.",2,2,,0,1,1,1,,,,,0,10,10,10,,,,,,,,,,,,,,,,,1,9.436465431994293,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
1,We think it’s genius; we want to support your vision and make this tiny company of yours internationally known.,2,2,,0,1,1,1,,,,,0,11,11,11,,,,,,,,,,,,,,,,,1,4.920168646989623,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
1,"But honestly, your company doesn’t have the resources to reach international markets right now.",2,2,,0,1,1,1,,,,,0,12,12,12,,,,,,,,,,,,,,,,,1,3.803088996995939,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
1,"Maybe in a few years you could, but by that time, other companies may have already filled your niche.",2,2,,0,1,1,1,,,,,0,13,13,13,,,,,,,,,,,,,,,,,1,5.000975407019723,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
1,I think we should join forces.”,2,2,,0,1,1,1,,,,,0,14,14,14,,,,,,,,,,,,,,,,,1,2.3038961999991443,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
1,The waitress came up to them and asked if they were ready to order.,3,2,,0,1,1,1,,,,,0,15,15,15,,,,,,,,,,,,,,,,,9,7.2363212700001895,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
1,"Mr. Gordon ordered a medium-rare steak and martini, and Mr. Shelton ordered veal and a manhattan. ",3,2,,0,1,1,1,,,,,0,16,16,16,,,,,,,,,,,,,,,,,1,12.52083068000502,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
1,"Then Mr. Shelton continued, “Look, I’ve talked to other members of the board, and we are prepared to offer $600 million to buy your company. ",3,2,,0,1,1,1,,,,,0,17,17,17,,,,,,,,,,,,,,,,,9,8.284448805003194,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
1,"We'd keep on all of your current employees, and you would join as the director of your company branch.” ",3,2,,0,1,1,1,,,,,0,18,18,18,,,,,,,,,,,,,,,,,1,7.820262872002786,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
1,Mr. Gordon sat looking at Mr. Shelton for a few moments considering his response. ,3,2,,0,1,1,1,,,,,0,19,19,19,,,,,,,,,,,,,,,,,1,3.7194286299927626,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
1,He looked at Mr. Shelton skeptically.,3,2,,0,1,1,1,,,,,0,20,20,20,,,,,,,,,,,,,,,,,1,3.603496414987603,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
1,"He said, “Mr. Shelton, I think that you make a compelling offer, but there are definitely some disadvantages to attaching our small, streamlined productions to a large company like yours.",3,3,,0,1,1,1,,,,,0,21,21,21,,,,,,,,,,,,,,,,,1,9.320256769977277,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
1,"We operate in a very different way than a large company, and the kind of administrative complexity that makes the scale of your productions possible would suffocate our business.",3,3,,0,1,1,1,,,,,0,22,22,22,,,,,,,,,,,,,,,,,1,8.536844024987658,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
1,"With our product, scaling-up doesn’t necessarily make sense.” ",3,3,,0,1,1,1,,,,,0,23,23,23,,,,,,,,,,,,,,,,,1,4.851105742010986,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
1,Mr. Shelton had expected this response and had come prepared.,3,3,,0,1,1,1,,,,,0,24,24,24,,,,,,,,,,,,,,,,,9,4.153240491985343,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
1,He began laying out the details of how he had handled similar acquisitions successfully in the past.,3,3,,0,1,1,1,,,,,0,25,25,25,,,,,,,,,,,,,,,,,1,5.7195449999999255,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
1,"Mr. Gordon was impressed, and they went back and forth hashing out what the company configuration would look like post-merger. ",3,3,,0,1,1,1,,,,,0,26,26,26,,,,,,,,,,,,,,,,,1,11.303364357008832,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
1,"The waitress brought the food out, interrupting their animated conversation.",4,3,,0,1,1,1,,,,,0,27,27,27,,,,,,,,,,,,,,,,,9,4.651847436995013,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
1,“Oh this looks so good!” Mr. Gordon said. ,4,3,,0,1,1,1,,,,,0,28,28,28,,,,,,,,,,,,,,,,,1,2.237022193003213,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
1, “Can I get you anything else?” the waitress asked.,4,3,,0,1,1,1,,,,,0,29,29,29,,,,,,,,,,,,,,,,,1,4.253183697001077,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
1,They declined and continued to talk.,4,3,,0,1,1,1,,,,,0,30,30,30,,,,,,,,,,,,,,,,,1,2.3531188819906674,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
1,"The meal lived up to the reputation of the restaurant, which was known for having the best cuts of meat in the area.",4,3,,0,1,1,1,,,,,0,31,31,31,,,,,,,,,,,,,,,,,1,14.987562760012224,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
