count,storyText,locationEvent,socialEvent,story,locationEventSize,socialEventSize,socialAnswer,locationAnswer,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,key_resp_15.keys,key_resp_15.rt,key_resp_14.keys,key_resp_14.rt,story_presses.keys,story_presses.rt,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,question1_answer,order of question,question2_answer,question3_answer,participant,session,date,expName,psychopyVersion,frameRate,
0,"Maria and Henry packed up hurriedly, and they hugged; both of them had tears. ",4,4,None,,,,,,0,0,0,0,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.987358677957673,,,,,,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1332,body_behavioural,3.0.4,59.948993116977924,
0,"“Maria, I don’t want you to leave.",4,4,None,,,,,,0,0,0,0,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2.8532020099810325,,,,,,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1332,body_behavioural,3.0.4,59.948993116977924,
0,I don’t want this to end. ,4,4,None,,,,,,0,0,0,0,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.970358769991435,,,,,,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1332,body_behavioural,3.0.4,59.948993116977924,
0,"But if this is what you think is best, I can’t make it otherwise.” ",4,4,None,,,,,,0,0,0,0,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.687012370035518,,,,,,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1332,body_behavioural,3.0.4,59.948993116977924,
0,"They hugged one last time, and then Maria remembered she had left her favorite Alpaca sweater in Henry’s room.",4,4,None,,,,,,0,0,0,0,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11.003760477004107,,,,,,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1332,body_behavioural,3.0.4,59.948993116977924,
0,"“Henry, I’m so sorry to ask this now but could you grab my alpaca sweater from your dorm and meet me in front of the student center?”",4,4,None,,,,,,0,0,0,0,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8.02071288699517,,,,,,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1332,body_behavioural,3.0.4,59.948993116977924,
0,"He agreed, and she ran off to get her things from her dorm as he sadly watched her go. ",4,4,None,,,,,,0,0,0,0,,,,,0,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.187426850025076,,,,,,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1332,body_behavioural,3.0.4,59.948993116977924,
0,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1332,body_behavioural,3.0.4,59.948993116977924,
1,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,3.920565734966658,space,1.5870928000076674,space,2.1189263449632563,,,,,,,,,,,,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1332,body_behavioural,3.0.4,59.948993116977924,
1,"Thomas, dreading the approaching breakup conversation he was about to start, got to Annika’s Finer Diner late but Sadie, his girlfriend, was not there yet.",1,1,11.0,None,None,None,None,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,space,19.643866361991968,space,1.3340842380421236,1,25.20243876997847,,,,,,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1332,body_behavioural,3.0.4,59.948993116977924,
