count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,participant,session,date,expName,psychopyVersion,frameRate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Since they had almost a 10 minute wait in line, Ms. Bianchi handed a sheet with printed graphs to Ms. Morrison the increase in profits that several other stores had seen after starting to carry their products.",3,2,,,,0,0,0,0,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,1,6.3530446519980615,,,,,,,,,022719_p1,1,2019_Feb_27_1214,body_behavioural,3.0.4,59.91687599967098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Eventually, Ms. Morrison replied, “You know what, I think you've convinced me that this could work. ",3,3,,,,0,0,0,0,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,1,1.052664975002699,,,,,,,,,022719_p1,1,2019_Feb_27_1214,body_behavioural,3.0.4,59.91687599967098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,We've been trying to find a way to add a little European cachet to our stores.,3,3,,,,0,0,0,0,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,1,0.8028607100022782,,,,,,,,,022719_p1,1,2019_Feb_27_1214,body_behavioural,3.0.4,59.91687599967098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,There's still a problem though - I'm worried we'll be paying out the nose for the import taxes.,3,3,,,,0,0,0,0,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,1,0.769949239998823,,,,,,,,,022719_p1,1,2019_Feb_27_1214,body_behavioural,3.0.4,59.91687599967098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Is that the case?""",3,3,,,,0,0,0,0,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,1,0.8673488200001884,,,,,,,,,022719_p1,1,2019_Feb_27_1214,body_behavioural,3.0.4,59.91687599967098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"It was Ms. Morrison’s turn to checkout, and the two businesswomen continued to talk back and forth as she did so. ",4,3,,,,0,0,0,0,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,1,1.4364282900023682,,,,,,,,,022719_p1,1,2019_Feb_27_1214,body_behavioural,3.0.4,59.91687599967098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"The cashier scanned the crackers, and Ms. Bianchi watched in amusement as Ms. Morrison paid the $6 price entirely in quarters from a wallet bulging with change.",4,3,,,,0,0,0,0,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,1,5.0342409149998275,,,,,,,,,022719_p1,1,2019_Feb_27_1214,body_behavioural,3.0.4,59.91687599967098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"They shortly came to an agreement and would have enough cheese shipments, $5000 worth, to different stores to qualify for a subsidized import tax.",4,4,,,,0,0,0,0,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,1,11.070848908002517,,,,,,,,,022719_p1,1,2019_Feb_27_1214,body_behavioural,3.0.4,59.91687599967098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Ms. Bianchi retrieved some of her samples from her car, and they toasted their new deal with crackers topped with fresh mozzarella. ",4,4,,,,0,0,0,0,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,1,6.253521352002281,,,,,,,,,022719_p1,1,2019_Feb_27_1214,body_behavioural,3.0.4,59.91687599967098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,022719_p1,1,2019_Feb_27_1214,body_behavioural,3.0.4,59.91687599967098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,space,2.819892349998554,space,0.5196960600005696,space,0.7858347750006942,,,,,,,,,,,022719_p1,1,2019_Feb_27_1214,body_behavioural,3.0.4,59.91687599967098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Jeff, hoping that today would be a pivotal day for his new business, had only been waiting inside the doors of the airport for a few minutes when he saw William and eagerly waved him over. ",1,1,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,1,2.4196124150003016,,,,,,,,,022719_p1,1,2019_Feb_27_1214,body_behavioural,3.0.4,59.91687599967098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Jeff, checking his watch, was pleased to see that the two of them had two hours to discuss business before their flights left Boston.",1,1,,,,0,1,1,1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,1,0.7339718849980272,,,,,,,,,022719_p1,1,2019_Feb_27_1214,body_behavioural,3.0.4,59.91687599967098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,The two had met the night before in line for the bathroom at a local bar. ,1,1,,,,0,1,1,1,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,1,3.2343298849991697,,,,,,,,,022719_p1,1,2019_Feb_27_1214,body_behavioural,3.0.4,59.91687599967098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Jeff had delivered some surprisingly-detailed complaints to William about the wine selection.,1,1,,,,0,1,1,1,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,1,3.66959189499903,,,,,,,,,022719_p1,1,2019_Feb_27_1214,body_behavioural,3.0.4,59.91687599967098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,They quickly learned about each other that Jeff was a representative for wine vineyards in the Northeast and William was a wine buyer for corporate events.,1,1,,,,0,1,1,1,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,1,2.98653408500104,,,,,,,,,022719_p1,1,2019_Feb_27_1214,body_behavioural,3.0.4,59.91687599967098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Since they both had flights out of Boston at the same time, they had agreed to meet at the airport and talk about potentially doing business. ",1,1,,,,0,1,1,1,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,1,5.101175120002154,,,,,,,,,022719_p1,1,2019_Feb_27_1214,body_behavioural,3.0.4,59.91687599967098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"They headed to security together, pleased to find that the line was not so long, and they chatted a little as they were waiting. ",2,1,,,,0,1,1,1,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,1,2.1698492299983627,,,,,,,,,022719_p1,1,2019_Feb_27_1214,body_behavioural,3.0.4,59.91687599967098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"“It’s crazy that we met last night,” William said, “I am flying out right now to meet my boss, and was worried that I was going to show up empty handed without any local retailer prepared.” ",2,1,,,,0,1,1,1,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,9,2.5864790870000434,,,,,,,,,022719_p1,1,2019_Feb_27_1214,body_behavioural,3.0.4,59.91687599967098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"“I know, what are the chances, right?” Jeff said.",2,1,,,,0,1,1,1,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,1,1.6697598020000441,,,,,,,,,022719_p1,1,2019_Feb_27_1214,body_behavioural,3.0.4,59.91687599967098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"William laughed and said, “I’m glad our shared complaining can come in handy.",2,1,,,,0,1,1,1,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,1,1.3526876569994783,,,,,,,,,022719_p1,1,2019_Feb_27_1214,body_behavioural,3.0.4,59.91687599967098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"I know this is fast, but I'd like to get right down to specifics.",2,2,,,,0,1,1,1,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,1,1.4865052219975041,,,,,,,,,022719_p1,1,2019_Feb_27_1214,body_behavioural,3.0.4,59.91687599967098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,I'd like to order a couple of sample shipments from you and present them to our corporate buyers.,2,2,,,,0,1,1,1,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,1,2.103867628000444,,,,,,,,,022719_p1,1,2019_Feb_27_1214,body_behavioural,3.0.4,59.91687599967098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Typically we expect to get these kinds of samples at a deep discount, at least half-off the label price.",2,2,,,,0,1,1,1,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,1,1.8200559920005617,,,,,,,,,022719_p1,1,2019_Feb_27_1214,body_behavioural,3.0.4,59.91687599967098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
