count,storyText,locationEvent,socialEvent,story,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,order of stories,order of perspectives,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,questions time,key_resp_13.keys,key_resp_13.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,"She attempted to stammer a response as she frantically grabbed her and Sven’s shoes, leaving Sven to retrieve their bags.",2,3,None,,,,0,0,0,0,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7.503599710005801,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
0,"Both of them slipping in their socked feet, she fled onto the concourse with Sven trying to catch up behind her.",3,3,None,,,,0,0,0,0,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.6198442580061965,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
0,"Everyone in the terminal was looking at them with confusion as Sven, holding the bags in one hand and the open ring box in the other, finally caught up to her.",3,3,None,,,,0,0,0,0,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.486629111983348,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
0,“Isabel?”,3,3,None,,,,0,0,0,0,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1.8030440600123256,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
0,"He watched her face as she turned, trying to read her expression.",3,3,None,,,,0,0,0,0,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.403379964991473,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
0,"Her eyes were wide, but she was smiling as she hyperventilated, “Of course yes, Sven, yes!” ",3,4,None,,,,0,0,0,0,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.6364995749900118,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
0,"They dropped their belongings and hugged, and Sven slipped the ring onto Isabel’s finger. ",3,4,None,,,,0,0,0,0,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4.519872851960827,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
0,"After getting their shoes back on, they practically skipped to the gate, filled with joy.",3,4,None,,,,0,0,0,0,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.403364160039928,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
0,Sven high-fived a confused shoe-shine attendant as they passed.,3,4,None,,,,0,0,0,0,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.119860052014701,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
0,"They sat down outside their gate, having actually made good time, until the attendant called for passengers.",3,4,None,,,,0,0,0,0,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,19.337814250029624,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
0,"They boarded, sitting together in first class, and had a glass of champagne to celebrate the departure into their new life together.",4,4,None,,,,0,0,0,0,,,,,0,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3.5198515899828635,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
0,"Some of their neighboring passengers who had witnessed the proposal congratulated them, and a woman next to them showed them that she had been live-tweeting the whole event and that it was already going viral online.",4,4,None,,,,0,0,0,0,,,,,0,33,33,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6.536873457022011,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
0,"Isabel slid down in her seat with her hands over her face, both embarrassed and overjoyed at the same time.
",4,4,None,,,,0,0,0,0,,,,,0,34,34,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.1034439749782905,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
0,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
1,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.486382503004279,space,1.1863181220251136,space,1.6534965600003488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
1,David saw Anna for the first time when she burst into the airport with her bag skidding behind her half-zipped. ,1,1,42.0,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5.620056740008295,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
1,"He had three hours until his flight, but she clearly had less than one.",1,1,None,,,,0,1,1,1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.650981482001953,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
1,"Anna’s yoga class had ran over, and afterwards, she, forgetting the time, had lingered to talk with friends. ",1,1,None,,,,0,1,1,1,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.034235402010381,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
1,"Despite Anna's frazzled state, David was instantly intrigued by her.",1,1,None,,,,0,1,1,1,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.4696826200233772,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
1,"He thought she was beautiful, and she reminded him of one of his favorite paintings.",1,1,None,,,,0,1,1,1,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.0702846269705333,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
1,"Anna, a few strides into the airport, suddenly realized her shoes were untied, so she hunched over to tie them.",1,1,None,,,,0,1,1,1,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2.6508711769711226,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
1,David observed that someone with a tall cart of luggage was heading straight for where Anna was kneeling. ,1,1,None,,,,0,1,1,1,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.701090208021924,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
1,Both Anna and the person driving the cart were oblivious to the impending collision. ,1,1,None,,,,0,1,1,1,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.3169628639589064,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
1,"David had to intervene, and he ran in front of the cart pushing her out of the way just in the nick of time, and they tumbled on the airport floor. ",1,2,None,,,,0,1,1,1,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.570678360003512,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
