count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,participant,session,date,expName,psychopyVersion,frameRate,
1,Charlie saw Alma as they walked into class and he motioned for her to come sit in the back next to him: they had business to discuss.,1,1,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,9,19.98536595000769,,,,,,,,,,,,,,,,,,,,,,,,,031319_p1,001,2019_Mar_13_0952,body_behavioural,3.0.4,59.87191947423961,
1,Charlie and Alma were both economics students with entrepreneurial bents.,1,1,,,,0,1,1,1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7.751219775003847,,,,,,,,,,,,,,,,,,,,,,,,,031319_p1,001,2019_Mar_13_0952,body_behavioural,3.0.4,59.87191947423961,
1,They were also both very busy and in the same class.,1,1,,,,0,1,1,1,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.153346237988444,,,,,,,,,,,,,,,,,,,,,,,,,031319_p1,001,2019_Mar_13_0952,body_behavioural,3.0.4,59.87191947423961,
1,"After talking at a party, Charlie had discovered that Alma was looking for financing for her web development company.",1,1,,,,0,1,1,1,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10.518214412004454,,,,,,,,,,,,,,,,,,,,,,,,,031319_p1,001,2019_Mar_13_0952,body_behavioural,3.0.4,59.87191947423961,
1,It was serendipitous because he had been talking with other members of his venture capital group about making an investment. ,1,1,,,,0,1,1,1,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7.903018378012348,,,,,,,,,,,,,,,,,,,,,,,,,031319_p1,001,2019_Mar_13_0952,body_behavioural,3.0.4,59.87191947423961,
1,"His financial group had come to a decision that morning about Alma’s idea, and he didn't want to wait until after class to discuss the proposal with her. ",1,1,,,,0,1,1,1,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11.253687943011755,,,,,,,,,,,,,,,,,,,,,,,,,031319_p1,001,2019_Mar_13_0952,body_behavioural,3.0.4,59.87191947423961,
1,"The class was in a large auditorium with small, foldable desks on the side of each cushioned chair. ",1,1,,,,0,1,1,1,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.2030757530010305,,,,,,,,,,,,,,,,,,,,,,,,,031319_p1,001,2019_Mar_13_0952,body_behavioural,3.0.4,59.87191947423961,
1,"There were large windows on both sides of the hall, and they could see the first flurries of a winter storm starting outside. ",1,1,,,,0,1,1,1,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.6028330299886875,,,,,,,,,,,,,,,,,,,,,,,,,031319_p1,001,2019_Mar_13_0952,body_behavioural,3.0.4,59.87191947423961,
1,"“Here we are at Lecture Seven already in History of the Eternal City,” said the professor. ",2,1,,,,0,1,1,1,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9.235304603993427,,,,,,,,,,,,,,,,,,,,,,,,,031319_p1,001,2019_Mar_13_0952,body_behavioural,3.0.4,59.87191947423961,
1,“We're going to talk today about the age of the first Roman emperor: Augustus.” ,2,1,,,,0,1,1,1,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.46957289299462,,,,,,,,,,,,,,,,,,,,,,,,,031319_p1,001,2019_Mar_13_0952,body_behavioural,3.0.4,59.87191947423961,
