count,storyText,locationEvent,socialEvent,story,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,order of stories,order of perspectives,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,key_resp_15.keys,key_resp_15.rt,key_resp_14.keys,key_resp_14.rt,story_presses.keys,story_presses.rt,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,questions time,key_resp_13.keys,key_resp_13.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,Emmanuella nodded as she listened. ,3.0,3.0,None,,0,0,0,0,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.8027311370242387,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p2,001,2019_Jun_27_1417,body_behavioural,3.0.4,59.99006084925502,
0,The cashier scanned their groceries.,4.0,3.0,None,,0,0,0,0,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2.9530473920167424,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p2,001,2019_Jun_27_1417,body_behavioural,3.0.4,59.99006084925502,
0,"The cost came to $30, and Emmanuella paid with her credit card.",4.0,3.0,None,,0,0,0,0,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.769817167019937,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p2,001,2019_Jun_27_1417,body_behavioural,3.0.4,59.99006084925502,
0,"She asked Liam politely to take the bags, and he obliged, following her to the exit. ",4.0,3.0,None,,0,0,0,0,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.000267406983767,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p2,001,2019_Jun_27_1417,body_behavioural,3.0.4,59.99006084925502,
0,"Filled with a sudden wave of sadness, Emmanuella said, “Liam, I think we are making the right decision- this is good.”",4.0,4.0,None,,0,0,0,0,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6.236758059996646,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p2,001,2019_Jun_27_1417,body_behavioural,3.0.4,59.99006084925502,
0,"“I agree,” he said, relieved at the hope he was entertaining that they had just gotten through their last fight. ",4.0,4.0,None,,0,0,0,0,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.9007897099945694,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p2,001,2019_Jun_27_1417,body_behavioural,3.0.4,59.99006084925502,
0,"“I think we can still host this dinner tonight, as long as you're still on board,” Emmanuella said.",4.0,4.0,None,,0,0,0,0,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.153193954960443,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p2,001,2019_Jun_27_1417,body_behavioural,3.0.4,59.99006084925502,
0,"Liam nodded, “Yes, let’s just not tell anyone we’ve broken up tonight.” ",4.0,4.0,None,,0,0,0,0,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.835478749999311,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p2,001,2019_Jun_27_1417,body_behavioural,3.0.4,59.99006084925502,
0,"Emmanuella laughed, “Whoever leaks it loses their right to the cat.”",4.0,4.0,None,,0,0,0,0,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.971921345044393,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p2,001,2019_Jun_27_1417,body_behavioural,3.0.4,59.99006084925502,
0,"Liam chuckled and responded, “Hey!",4.0,4.0,None,,0,0,0,0,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.170837195997592,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p2,001,2019_Jun_27_1417,body_behavioural,3.0.4,59.99006084925502,
