count,storyText,locationEvent,socialEvent,story,locationEventSize,socialEventSize,socialAnswer,locationAnswer,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,order of stories,order of perspectives,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,key_resp_15.keys,key_resp_15.rt,key_resp_14.keys,key_resp_14.rt,story_presses.keys,story_presses.rt,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,questions time,key_resp_13.keys,key_resp_13.rt,participant,session,date,expName,psychopyVersion,frameRate,
1,Also in the front area were large posters advertising thanksgiving promotions.,1,1,None,,,,,,0,1,1,1,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7.537170362978941,,,,,,,,,,,,,,,,,,,,,,,,,,,,062519_p1,001,2019_Jun_25_1044,body_behavioural,3.0.4,59.91582127112529,
1,"The store was buzzing with activity because the next day was Thanksgiving, and most shoppers had carts piled high with turkey, stuffing, and pies.",1,1,None,,,,,,0,1,1,1,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.936353024997516,,,,,,,,,,,,,,,,,,,,,,,,,,,,062519_p1,001,2019_Jun_25_1044,body_behavioural,3.0.4,59.91582127112529,
1,Alex wanted to propose here because he knew Chloe would be wonderfully surprised. ,1,1,None,,,,,,0,1,1,1,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.469447515002685,,,,,,,,,,,,,,,,,,,,,,,,,,,,062519_p1,001,2019_Jun_25_1044,body_behavioural,3.0.4,59.91582127112529,
1,"After 23 months of dating, Alex knew one of the things Chloe loved most was surprises. ",1,1,None,,,,,,0,1,1,1,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9.270606382022379,,,,,,,,,,,,,,,,,,,,,,,,,,,,062519_p1,001,2019_Jun_25_1044,body_behavioural,3.0.4,59.91582127112529,
1,"Chloe perused the canned goods aisle, and said, “Alex, we need a couple things.”",2,1,None,,,,,,0,1,1,1,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8.67015330499271,,,,,,,,,,,,,,,,,,,,,,,,,,,,062519_p1,001,2019_Jun_25_1044,body_behavioural,3.0.4,59.91582127112529,
1,"He didn’t hear her and was fanning himself, and Chloe asked him if he was okay.",2,1,None,,,,,,0,1,1,1,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.2359868839848787,,,,,,,,,,,,,,,,,,,,,,,,,,,,062519_p1,001,2019_Jun_25_1044,body_behavioural,3.0.4,59.91582127112529,
1,"“Oh yeah, for sure,” he said, unconvincingly. ",2,1,None,,,,,,0,1,1,1,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.3681292749824934,,,,,,,,,,,,,,,,,,,,,,,,,,,,062519_p1,001,2019_Jun_25_1044,body_behavioural,3.0.4,59.91582127112529,
1,"She chuckled, “Alright, whatever you say.” ",2,1,None,,,,,,0,1,1,1,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.5863766949914861,,,,,,,,,,,,,,,,,,,,,,,,,,,,062519_p1,001,2019_Jun_25_1044,body_behavioural,3.0.4,59.91582127112529,
1,"She had a can of pumpkin puree and a bottle of vinegar picked out, and she was now mulling over the different cans of cranberry sauce.",2,1,None,,,,,,0,1,1,1,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7.58703079802217,,,,,,,,,,,,,,,,,,,,,,,,,,,,062519_p1,001,2019_Jun_25_1044,body_behavioural,3.0.4,59.91582127112529,
1,"Alex was guessing she would be a while, and he turned his back to her and pulled out the ring to look at it one more time. ",2,2,None,,,,,,0,1,1,1,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16.404258287977427,,,,,,,,,,,,,,,,,,,,,,,,,,,,062519_p1,001,2019_Jun_25_1044,body_behavioural,3.0.4,59.91582127112529,
