count,storyText,locationEvent,socialEvent,story,locationEventSize,socialEventSize,socialAnswer,locationAnswer,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,key_resp_15.keys,key_resp_15.rt,key_resp_14.keys,key_resp_14.rt,story_presses.keys,story_presses.rt,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,questions time,key_resp_13.keys,key_resp_13.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,"As they were rushing to put their shoes and coats on, they shared when they were coming back. ",2,2,None,,,,,,0,0,0,0,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.903536379977595,,,,,,,,,,,,,,,,,,,,,,,,,,,,062619_p1,001,2019_Jun_26_1728,body_behavioural,3.0.4,59.97086771091615,
0,"In a moment of boldness, David asked, “When we're back in town next Tuesday, is there any chance you'd want to get dinner?",2,3,None,,,,,,0,0,0,0,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4.385747630993137,,,,,,,,,,,,,,,,,,,,,,,,,,,,062619_p1,001,2019_Jun_26_1728,body_behavioural,3.0.4,59.97086771091615,
0,"I know we just met, but when life throws a luggage cart at you it seems like we should listen. “",2,3,None,,,,,,0,0,0,0,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.60168428401812,,,,,,,,,,,,,,,,,,,,,,,,,,,,062619_p1,001,2019_Jun_26_1728,body_behavioural,3.0.4,59.97086771091615,
0,"She stopped packing, and said with a smile, “Yes I would love that.”",2,3,None,,,,,,0,0,0,0,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.569875975023024,,,,,,,,,,,,,,,,,,,,,,,,,,,,062619_p1,001,2019_Jun_26_1728,body_behavioural,3.0.4,59.97086771091615,
0,"On the concourse, they were running to get to Anna’s gate, J37, which was at the end of the terminal. ",3,3,None,,,,,,0,0,0,0,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10.953798834991176,,,,,,,,,,,,,,,,,,,,,,,,,,,,062619_p1,001,2019_Jun_26_1728,body_behavioural,3.0.4,59.97086771091615,
0,"David took her suitcase, grabbed her hand, and weaved crowd of people.",3,3,None,,,,,,0,0,0,0,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.4033063969982322,,,,,,,,,,,,,,,,,,,,,,,,,,,,062619_p1,001,2019_Jun_26_1728,body_behavioural,3.0.4,59.97086771091615,
0,People passing them were giving them funny looks because Anna looked so bewildered.,3,3,None,,,,,,0,0,0,0,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.253303406992927,,,,,,,,,,,,,,,,,,,,,,,,,,,,062619_p1,001,2019_Jun_26_1728,body_behavioural,3.0.4,59.97086771091615,
0,"Before getting to the gate, explaining that she would sprint the rest of the way, Anna fished out a crumpled business card from her pocket and handed it to David, who handed her the suitcase.",3,4,None,,,,,,0,0,0,0,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.685286174993962,,,,,,,,,,,,,,,,,,,,,,,,,,,,062619_p1,001,2019_Jun_26_1728,body_behavioural,3.0.4,59.97086771091615,
0,"She gave him one last embarrassed smile, thanked him, and hurried away.",3,4,None,,,,,,0,0,0,0,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.686758046998875,,,,,,,,,,,,,,,,,,,,,,,,,,,,062619_p1,001,2019_Jun_26_1728,body_behavioural,3.0.4,59.97086771091615,
0,"David looked at his watch which read 10:55 AM, 5 minutes before her flight was supposed to leave. ",3,4,None,,,,,,0,0,0,0,,,,,0,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5.03667848801706,,,,,,,,,,,,,,,,,,,,,,,,,,,,062619_p1,001,2019_Jun_26_1728,body_behavioural,3.0.4,59.97086771091615,
0,"At the gate, Anna waved to the flight attendant who motioned for her to hurry and she boarded the plane. ",4,4,None,,,,,,0,0,0,0,,,,,0,33,33,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.8365724500035867,,,,,,,,,,,,,,,,,,,,,,,,,,,,062619_p1,001,2019_Jun_26_1728,body_behavioural,3.0.4,59.97086771091615,
0,"She slid into her window seat 7D in business class, and barely containing her glee, she hugged the plastic-wrapped blanket. ",4,4,None,,,,,,0,0,0,0,,,,,0,34,34,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.886673036991851,,,,,,,,,,,,,,,,,,,,,,,,,,,,062619_p1,001,2019_Jun_26_1728,body_behavioural,3.0.4,59.97086771091615,
0,"She was thankful that she had not only made it onto the plane in time, but also that she had been clumsy enough to forget to tie her shoes.",4,4,None,,,,,,0,0,0,0,,,,,0,35,35,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.769910324976081,,,,,,,,,,,,,,,,,,,,,,,,,,,,062619_p1,001,2019_Jun_26_1728,body_behavioural,3.0.4,59.97086771091615,
0,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,062619_p1,001,2019_Jun_26_1728,body_behavioural,3.0.4,59.97086771091615,
1,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.752109814988216,space,4.320133363013156,space,1.8341303099878132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,062619_p1,001,2019_Jun_26_1728,body_behavioural,3.0.4,59.97086771091615,
1,"Alvira and Senna walked into the restaurant hand in sweaty hand with quite different expectations for the night because Senna, after 5 years of dating, was going to propose, and Alvira had no idea.",1.0,1.0,21.0,None,None,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6196156619989779,space,2.436508988001151,9,26.091469066013815,,,,,,,,,,,,,,,,,,,,,,,,,,,,062619_p1,001,2019_Jun_26_1728,body_behavioural,3.0.4,59.97086771091615,
1,"He took a deep breath, trying to calm his nerves as worst case scenarios ran through his mind. ",1.0,1.0,None,None,None,,,,0,1,1,1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.3204807300062384,,,,,,,,,,,,,,,,,,,,,,,,,,,,062619_p1,001,2019_Jun_26_1728,body_behavioural,3.0.4,59.97086771091615,
1,The restaurant was on the beach and had floor-to-ceiling arched windows that framed an incredible view of the Pacific Ocean.,1.0,1.0,None,None,None,,,,0,1,1,1,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,11.421300934976898,,,,,,,,,,,,,,,,,,,,,,,,,,,,062619_p1,001,2019_Jun_26_1728,body_behavioural,3.0.4,59.97086771091615,
1,"Besides the view, the restaurant itself was beautiful- crystal chandeliers hung from the high ceiling above small tables covered with white table clothes.
",1.0,1.0,None,None,None,,,,0,1,1,1,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10.703858410008252,,,,,,,,,,,,,,,,,,,,,,,,,,,,062619_p1,001,2019_Jun_26_1728,body_behavioural,3.0.4,59.97086771091615,
1,This was surely one of the best restaurants on the West Coast.,1.0,1.0,None,None,None,,,,0,1,1,1,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.003760044986848,,,,,,,,,,,,,,,,,,,,,,,,,,,,062619_p1,001,2019_Jun_26_1728,body_behavioural,3.0.4,59.97086771091615,
1,"After Senna gave his name to the host, who discretely winked at Senna, they were seated at a table right by the window. ",2.0,1.0,None,7.0,None,,,,0,1,1,1,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4.7511172399972565,,,,,,,,,,,,,,,,,,,,,,,,,,,,062619_p1,001,2019_Jun_26_1728,body_behavioural,3.0.4,59.97086771091615,
1,The waiter brought out some very small menus.,2.0,1.0,None,None,9.0,,,,0,1,1,1,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.420907374995295,,,,,,,,,,,,,,,,,,,,,,,,,,,,062619_p1,001,2019_Jun_26_1728,body_behavioural,3.0.4,59.97086771091615,
1,"They consisted of a short list of the head chef's carefully selected daily dishes written in a loopy, cursive font unadorned by any mention of prices.",None,None,None,None,None,,,,0,1,1,1,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.537390643003164,,,,,,,,,,,,,,,,,,,,,,,,,,,,062619_p1,001,2019_Jun_26_1728,body_behavioural,3.0.4,59.97086771091615,
1,"Senna got nervous about the ring, and he slipped off to the bathroom to check to make sure it looked alright.",2.0,2.0,None,None,None,,,,0,1,1,1,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7.437383437994868,,,,,,,,,,,,,,,,,,,,,,,,,,,,062619_p1,001,2019_Jun_26_1728,body_behavioural,3.0.4,59.97086771091615,
1,The ring contained three canary yellow diamonds that had been in his grandmother’s wedding ring. ,2.0,2.0,None,None,None,,,,0,1,1,1,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.60343603201909,,,,,,,,,,,,,,,,,,,,,,,,,,,,062619_p1,001,2019_Jun_26_1728,body_behavioural,3.0.4,59.97086771091615,
1,"After Senna had gotten back to the table, the waiter appeared at their table to take their order.",3.0,2.0,None,None,None,,,,0,1,1,1,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4.070053985022241,,,,,,,,,,,,,,,,,,,,,,,,,,,,062619_p1,001,2019_Jun_26_1728,body_behavioural,3.0.4,59.97086771091615,
1,"Senna ordered the oysters with garlic-parmesan sauce, and Alvira ordered the sauteed sea scallops with caramelized apples. ",3.0,2.0,None,None,None,,,,0,1,1,1,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.1702508500020485,,,,,,,,,,,,,,,,,,,,,,,,,,,,062619_p1,001,2019_Jun_26_1728,body_behavioural,3.0.4,59.97086771091615,
1,"“Excellent choices,” the waiter said, and he left.",3.0,2.0,None,None,None,,,,0,1,1,1,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.6363766819995362,,,,,,,,,,,,,,,,,,,,,,,,,,,,062619_p1,001,2019_Jun_26_1728,body_behavioural,3.0.4,59.97086771091615,
1,"“What a beautiful place, Senna. ",3.0,2.0,None,None,None,,,,0,1,1,1,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1.4365830150200054,,,,,,,,,,,,,,,,,,,,,,,,,,,,062619_p1,001,2019_Jun_26_1728,body_behavioural,3.0.4,59.97086771091615,
1,"This is too much just to celebrate the first tomatoes I grew in the garden- really, this is absurd,” Alvira said.",3.0,2.0,None,None,None,,,,0,1,1,1,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.734342031995766,,,,,,,,,,,,,,,,,,,,,,,,,,,,062619_p1,001,2019_Jun_26_1728,body_behavioural,3.0.4,59.97086771091615,
1,"Senna laughed and said, “No, those were really the best tomatoes I’ve ever had. ",3.0,2.0,None,None,None,,,,0,1,1,1,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.3533167300047353,,,,,,,,,,,,,,,,,,,,,,,,,,,,062619_p1,001,2019_Jun_26_1728,body_behavioural,3.0.4,59.97086771091615,
1,We had to celebrate.” ,3.0,2.0,None,None,None,,,,0,1,1,1,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.6690821890078951,,,,,,,,,,,,,,,,,,,,,,,,,,,,062619_p1,001,2019_Jun_26_1728,body_behavioural,3.0.4,59.97086771091615,
1,"They talked and laughed as the sun sank below the horizon, lighting up the sky and water, and slowly the glow from the windows was replaced by the chandeliers.",3.0,2.0,None,8.0,None,,,,0,1,1,1,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5.8709215270064306,,,,,,,,,,,,,,,,,,,,,,,,,,,,062619_p1,001,2019_Jun_26_1728,body_behavioural,3.0.4,59.97086771091615,
1,The waiter returned with their dishes.,4.0,2.0,None,None,None,,,,0,1,1,1,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5.786707716993988,,,,,,,,,,,,,,,,,,,,,,,,,,,,062619_p1,001,2019_Jun_26_1728,body_behavioural,3.0.4,59.97086771091615,
1,"Everything was even more delicious than they had expected, especially the oysters, which Senna said tasted like the ocean. ",4.0,2.0,None,None,None,,,,0,1,1,1,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.2705034879909363,,,,,,,,,,,,,,,,,,,,,,,,,,,,062619_p1,001,2019_Jun_26_1728,body_behavioural,3.0.4,59.97086771091615,
1," As they were eating, Senna recounted to Alvira how they had met, and he told her in many words how much he loved her and what he loved about her, almost tearing up at moments. ",4.0,2.0,None,None,None,,,,0,1,1,1,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9.837067560001742,,,,,,,,,,,,,,,,,,,,,,,,,,,,062619_p1,001,2019_Jun_26_1728,body_behavioural,3.0.4,59.97086771091615,
1,"When they had finished eating, Senna nodded at the waiter who had been watching attentively, and he quickly strode over to place a small, elegant cake topped with the ring in front of Alvira. ",4.0,3.0,None,None,None,,,,0,1,1,1,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.66986925699166,,,,,,,,,,,,,,,,,,,,,,,,,,,,062619_p1,001,2019_Jun_26_1728,body_behavioural,3.0.4,59.97086771091615,
1,Her eyes widened in shock when she realized what she was looking at.,4.0,3.0,None,None,None,,,,0,1,1,1,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.0866488400206435,,,,,,,,,,,,,,,,,,,,,,,,,,,,062619_p1,001,2019_Jun_26_1728,body_behavioural,3.0.4,59.97086771091615,
