count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,second half of x,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,key_resp_14.keys,key_resp_14.rt,story_presses.keys,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,participant,session,date,expName,psychopyVersion,frameRate,
7,"Alex was a distracted, sweaty mess as he walked into the grocery store with Chloe; he was hoping that she wouldn't suspect that he was about to propose.",1,1,,,,0,7,7,7,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.9192741319998277,None,,,,,,,,,,,,,,,,,,,,,,,,,SECONDTEST,001,2019_Feb_20_1452,SECONDPART_body_behavioural,3.0.4,60.17724485348932,
7,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.30266946200026723,,,,,,,,,,,,,,,,,,,,,,,,,,SECONDTEST,001,2019_Feb_20_1452,SECONDPART_body_behavioural,3.0.4,60.17724485348932,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.4815624570001,space,0.3864997549999316,,,,,,,,,,,,,,,,,,,,,,SECONDTEST,001,2019_Feb_20_1452,SECONDPART_body_behavioural,3.0.4,60.17724485348932,
,,,,,,The next task in the experiment is to recall each story to the best of your ability.,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4506936150000911,,,,,,,,,,,,,,,,,,,,SECONDTEST,001,2019_Feb_20_1452,SECONDPART_body_behavioural,3.0.4,60.17724485348932,
,,,,,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.33666331299991725,,,,,,,,,,,,,,,,,,,,SECONDTEST,001,2019_Feb_20_1452,SECONDPART_body_behavioural,3.0.4,60.17724485348932,
,,,,,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3195162049996725,,,,,,,,,,,,,,,,,,,,SECONDTEST,001,2019_Feb_20_1452,SECONDPART_body_behavioural,3.0.4,60.17724485348932,
,,,,,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.33653833000016675,,,,,,,,,,,,,,,,,,,,SECONDTEST,001,2019_Feb_20_1452,SECONDPART_body_behavioural,3.0.4,60.17724485348932,
,,,,,,There is a 5 minute time limit to make your response. ,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3006522599998789,,,,,,,,,,,,,,,,,,,,SECONDTEST,001,2019_Feb_20_1452,SECONDPART_body_behavioural,3.0.4,60.17724485348932,
0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5531414649999533,Jdkjsldkfj,,,,,,,,,,,,,,,,,SECONDTEST,001,2019_Feb_20_1452,SECONDPART_body_behavioural,3.0.4,60.17724485348932,
1,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.9698096319998513,Kdjskld,,,,,,,,,,,,,,,,,SECONDTEST,001,2019_Feb_20_1452,SECONDPART_body_behavioural,3.0.4,60.17724485348932,
2,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.2362847620001958,Dksjf,,,,,,,,,,,,,,,,,SECONDTEST,001,2019_Feb_20_1452,SECONDPART_body_behavioural,3.0.4,60.17724485348932,
3,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.636228994999783,Kjlsdfkjd,,,,,,,,,,,,,,,,,SECONDTEST,001,2019_Feb_20_1452,SECONDPART_body_behavioural,3.0.4,60.17724485348932,
4,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.803704087999904,Lkdjfklsd,,,,,,,,,,,,,,,,,SECONDTEST,001,2019_Feb_20_1452,SECONDPART_body_behavioural,3.0.4,60.17724485348932,
5,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6868023699998957,Kljfskldj,,,,,,,,,,,,,,,,,SECONDTEST,001,2019_Feb_20_1452,SECONDPART_body_behavioural,3.0.4,60.17724485348932,
6,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6196514450002724,Kjsldkjs,,,,,,,,,,,,,,,,,SECONDTEST,001,2019_Feb_20_1452,SECONDPART_body_behavioural,3.0.4,60.17724485348932,
7,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5698603979999461, kjsdlfkjs,,,,,,,,,,,,,,,,,SECONDTEST,001,2019_Feb_20_1452,SECONDPART_body_behavioural,3.0.4,60.17724485348932,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.74629737099986,space,0.8187772010001027,,,,,,,,,,,,,,SECONDTEST,001,2019_Feb_20_1452,SECONDPART_body_behavioural,3.0.4,60.17724485348932,
,,,,,,The next part of the task is to answer 8 questions about each story.,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5698576720001256,,,,,,,,,,,,SECONDTEST,001,2019_Feb_20_1452,SECONDPART_body_behavioural,3.0.4,60.17724485348932,
,,,,,,Some of the questions are not related to the perspective you were asked to assume.,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4671099150000373,,,,,,,,,,,,SECONDTEST,001,2019_Feb_20_1452,SECONDPART_body_behavioural,3.0.4,60.17724485348932,
,,,,,,"We realize that we did not tell you to think of these questions during the story, but do your best to answer them.",,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.31936799200002497,,,,,,,,,,,,SECONDTEST,001,2019_Feb_20_1452,SECONDPART_body_behavioural,3.0.4,60.17724485348932,
,,,,,,"When you have finished typing your answer, hit ‘return’ to submit your answer and move onto the next question. ",,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.41958733499996015,,,,,,,,,,,,SECONDTEST,001,2019_Feb_20_1452,SECONDPART_body_behavioural,3.0.4,60.17724485348932,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,Jkljk,,,,,,space,0.767123669999819,Kj,primed first,Kjkljkl,Jklkj,Lkjlkj,Jlk,Lkjlkj,Jl,Jkljk,SECONDTEST,001,2019_Feb_20_1452,SECONDPART_body_behavioural,3.0.4,60.17724485348932,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,Lkjl,,,,,,space,0.5699444080000831,Jkljk,primed first,Kjl,Jkl,Jkl,Jkl,Jkl,Jlk,Lkjl,SECONDTEST,001,2019_Feb_20_1452,SECONDPART_body_behavioural,3.0.4,60.17724485348932,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,Jkl,,,,,,space,0.5521176249999371,J,non-primed first,J,J,J,,Jkls,Jl,Jkl,SECONDTEST,001,2019_Feb_20_1452,SECONDPART_body_behavioural,3.0.4,60.17724485348932,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fjs,,,,,,space,0.7030296550001367,Sdkfjskdl,non-primed first,Jlskdjf,Jskdl,Jkdsl,Fjs,,,,,,,,,,
