count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,recall,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,question1_correct_perspective,question2_correct_perspective,question3_correct_perspective,question4_correct_perspective,participant,session,date,expName,frameRate,
0,"He dropped it back on his plate, wondering if the restaurant was responsible for the foul taste in his mouth. ",4,4,13.0,5.0,,0,0,0,0,0,59,59,59,,,,,,,,,,,,,,,,,,,9,0.10231662401929498,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
,,,,,,The next task in the experiment is to recall each story to the best of your ability.,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,space,0.9189310959773138,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
,,,,,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,space,0.11778839898761362,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
,,,,,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,space,0.08513803605455905,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
,,,,,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,space,0.10077594593167305,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
,,,,,,There is no time limit for your responses. ,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,space,0.1349825789220631,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
0,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,, 1,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
1,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,1,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
2,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,1,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
3,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,1,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
4,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,1,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
5,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,1,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
