count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,order of stories,order of perspectives,story_presses.keys,story_presses.rt,participant,session,date,expName,frameRate,
7,14,,,,,0,7,7,7,0,0,0,0,,,9,0.018287367071025074,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
7,Attending a Lecture Breakup,,,,,0,7,7,7,0,1,1,1,,,1,1.0701989780645818,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
7,,,,,,0,7,7,7,,,,,,,,,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
8,34,,,,,0,8,8,8,0,0,0,0,,,9,0.0018023190787062049,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
8,Attending a Lecture Business Deal,,,,,0,8,8,8,0,1,1,1,,,1,0.6513624570798129,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
8,,,,,,0,8,8,8,,,,,,,,,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,"Thomas got to Annika’s Finer Diner early, dreading the conversation he was about to have.",1,1,None,None,0,9,9,9,0,0,0,0,,,1,2.704608452040702,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,The restaurant had a kitschy charm and was reminiscent of a diner from the 70’s. ,1,1,None,None,0,9,9,9,0,1,1,1,,,9,3.352696417015977,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,"A bell chimed as the door swung open, and Sadie entered to find him deep in thought on a bench by the door.",1,1,None,None,0,9,9,9,0,2,2,2,,,9,2.6028389090206474,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9, Thomas jumped up and gave her a side hug. ,1,1,None,None,0,9,9,9,0,3,3,3,,,9,2.3845262109534815,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,“How was your day?” he asked.,1,1,None,None,0,9,9,9,0,4,4,4,,,9,1.2499830870656297,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,"She clung onto him, “It was okay. I missed you today.”",1,1,None,None,0,9,9,9,0,5,5,5,,,9,1.1530564679997042,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,He looked at the hostess coming toward them.,1,1,None,None,0,9,9,9,0,6,6,6,,,9,1.1522930020000786,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,“Can we have a table in the back?” Thomas asked.,1,1,None,None,0,9,9,9,0,7,7,7,,,9,2.1682317570084706,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,"She shrugged and, as she loudly popped her bubblegum, replied, "Sure honey, this way."",1,1,9.0,None,0,9,9,9,0,8,8,8,,,9,1.7202589779626578,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,"She led them to the back of the restaurant, where there were dimly lit tables. ",2,1,None,None,0,9,9,9,0,9,9,9,,,1,1.4020866740029305,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,“Is this alright?” the hostess asked.,2,1,None,None,0,9,9,9,0,10,10,10,,,9,1.299680102034472,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,Thomas cleared his throat and tried not to grimace at the stained fabric that lined the booth.,2,1,None,None,0,9,9,9,0,11,11,11,,,9,1.5183107299963012,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,“This is great.,2,1,None,None,0,9,9,9,0,12,12,12,,,9,0.8002773630432785,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9," Thank you,” Thomas said.",2,1,None,None,0,9,9,9,0,13,13,13,,,9,3.618162526981905,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,Sadie slipped into the cushioned seat and grabbed Thomas’ hand.,2,1,None,None,0,9,9,9,0,14,14,14,,,9,1.9202618839917704,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,“Tell me about your day!” Sadie sang as Thomas sat down.,2,1,None,None,0,9,9,9,0,15,15,15,,,9,3.7529644499300048,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,"He looked at her silently, pulling his hand slowly from hers.",2,1,None,None,0,9,9,9,0,16,16,16,,,9,2.585926300031133,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,Sadie gave him a puzzled look.,2,1,None,None,0,9,9,9,0,17,17,17,,,9,1.268637920031324,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,"Thomas looked away, and took a deep breath. ",2,1,None,None,0,9,9,9,0,18,18,18,,,9,1.4533206139458343,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,"Sadie asked, “What’s wrong?” ",2,1,None,None,0,9,9,9,0,19,19,19,,,9,1.1856033160584047,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,Thomas picked at his fingernails.,2,1,None,22.0,0,9,9,9,0,20,20,20,,,9,0.8526633349247277,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,"“Look, Sadie, I’ve been thinking, and I need to figure out some stuff… on my own.”",2,2,None,None,0,9,9,9,0,21,21,21,,,1,3.6208839770406485,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,"Sadie’s mouth popped open for a moment, then she swallowed and shifted back in her seat.",2,2,None,None,0,9,9,9,0,22,22,22,,,9,2.534867364913225,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,“Things have been really picking up at work.,2,2,None,None,0,9,9,9,0,23,23,23,,,9,2.83728965499904,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,And I’m not sure that this is the job I want to do anymore.,2,2,None,None,0,9,9,9,0,24,24,24,,,9,1.750535691040568,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,It’s been really overwhelming between working and figuring out if I should change careers.” ,2,2,17.0,None,0,9,9,9,0,25,25,25,,,9,0.9192278740229085,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,The waiter appeared and interrupted the speech Thomas had been practicing.,3,2,None,None,0,9,9,9,0,26,26,26,,,1,2.8876243999693543,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,“Hello you two!,3,2,None,None,0,9,9,9,0,27,27,27,,,9,1.9184668799862266,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,Have you decided what you would like?”,3,2,None,None,0,9,9,9,0,28,28,28,,,9,2.5700800659833476,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,"Thomas and Sadie realized there were menus on the table, and they glanced at the lengthy list quickly.",3,2,None,None,0,9,9,9,0,29,29,29,,,9,2.117526603047736,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,"There were so many strange dishes they had never heard of before, so they settled on familiar orders.",3,2,None,None,0,9,9,9,0,30,30,30,,,9,1.6358032709686086,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,"“I’ll have a burger, no tomatoes,” Thomas said.",3,2,None,None,0,9,9,9,0,31,31,31,,,9,1.48540167696774,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,"Sadie asked about the reuben, and the waiter told her it was excellent.",3,2,None,None,0,9,9,9,0,32,32,32,,,9,2.1189647630089894,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9," Once she agreed to get that, he walked away. ",3,2,None,None,0,9,9,9,0,33,33,33,,,9,60.25434471294284,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,Sadie and Thomas looked at each other. ,3,2,None,None,0,9,9,9,0,34,34,34,,,9,1.501142909983173,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,“So what are you saying?” Sadie asked. ,3,2,None,None,0,9,9,9,0,35,35,35,,,9,3.2350001679733396,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,"Thomas replied, “I want to take a break for awhile.",3,2,None,None,0,9,9,9,0,36,36,36,,,9,1.5363110909238458,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,"You know, take space to figure out what I’m supposed to be doing.”",3,2,None,17.0,0,9,9,9,0,37,37,37,,,9,1.184446449042298,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,Sadie quietly burst into tears. ,3,3,None,None,0,9,9,9,0,38,38,38,,,1,2.0354281360050663,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,"Nevertheless, people sitting at the adjacent table looked over, and then averted their gaze as they realized what was happening. ",3,3,None,None,0,9,9,9,0,39,39,39,,,9,0.8526853020302951,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,“Is this really what you want?,3,3,None,None,0,9,9,9,0,40,40,40,,,9,0.8517115880968049,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,I don’t understand.,3,3,None,None,0,9,9,9,0,41,41,41,,,9,0.5019989070715383,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,I don’t understand.,3,3,None,None,0,9,9,9,0,42,42,42,,,9,1.384918206022121,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,Things were fine. ,3,3,None,None,0,9,9,9,0,43,43,43,,,9,1.1522866820450872,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,"We don’t have to hang out all the time, or as much as we do now.”",3,3,None,None,0,9,9,9,0,44,44,44,,,9,1.4521379619836807,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,Thomas chewed on his bottom lip and picked at his now bleeding hangnail. ,3,3,20.0,None,0,9,9,9,0,45,45,45,,,9,1.5351142809959128,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,"At that moment, the waiter arrived with the burger and reuben, and set them on the table.",4,3,None,None,0,9,9,9,0,46,46,46,,,9,2.2022356080124155,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9, “Is there anything else I can get for you two?,4,3,None,None,0,9,9,9,0,47,47,47,,,9,1.4690237240865827,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,Will you be getting desserts tonight?” he asked.,4,3,None,None,0,9,9,9,0,48,48,48,,,1,0.9684261840302497,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,"“Oh no, we’re good, thanks.” Thomas said.",4,3,None,None,0,9,9,9,0,49,49,49,,,9,0.933769567986019,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,"Once the waiter had quickly walked away, Thomas sighed and said, “Sadie, I’m sorry.",4,3,None,None,0,9,9,9,0,50,50,50,,,9,1.0683384210569784,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,"You are so great, and I love hanging out with you.",4,3,None,None,0,9,9,9,0,51,51,51,,,1,0.8523157780291513,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,"But I need some time, I’m so sorry.”",4,3,None,None,0,9,9,9,0,52,52,52,,,9,0.5026894700713456,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,"He grabbed her hand, and she pulled it out of his.",4,3,None,None,0,9,9,9,0,53,53,53,,,1,0.33547496097162366,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,"“Sadie,” he said.",4,3,None,17.0,0,9,9,9,0,54,54,54,,,9,0.23572983394842595,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9," She stood up, grabbed half the reuben, and shook it at him as she growled, “Don’t follow me and don’t talk to me anymore.”",4,4,None,None,0,9,9,9,0,55,55,55,,,1,0.1845180169912055,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,"Sadie's heels clacked loudly against the black and white linoleum, and the bell above the door jingled cheerfully as the door closed behind her.",4,4,None,None,0,9,9,9,0,56,56,56,,,9,0.1171353729441762,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,"Thomas sat there for awhile, in shock at how quickly everything transpired. ",4,4,None,None,0,9,9,9,0,57,57,57,,,9,0.15160923008807003,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,"He grabbed his burger, and took a bite of it, but it tasted dry and fishy.",4,4,None,None,0,9,9,9,0,58,58,58,,,9,0.1346971949096769,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,"He dropped it back on his plate, wondering if the restaurant was responsible for the foul taste in his mouth. ",4,4,13.0,5.0,0,9,9,9,0,59,59,59,,,9,0.15233934402931482,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
9,,,,,,0,9,9,9,,,,,,,,,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
10,24,,,,,0,10,10,10,0,0,0,0,,,1,2.635450277943164,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
10,Attending a Lecture Proposal,,,,,0,10,10,10,0,1,1,1,,,9,0.31813290202990174,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
10,,,,,,0,10,10,10,,,,,,,,,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
11,33,,,,,0,11,11,11,0,0,0,0,,,1,1.352919970988296,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
11,Grocery Shopping Business Deal,,,,,0,11,11,11,0,1,1,1,,,9,0.3513193510007113,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
11,,,,,,0,11,11,11,,,,,,,,,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
12,42,,,,,0,12,12,12,0,0,0,0,,,1,1.3197440400253981,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
12,Airport Meet Cute,,,,,0,12,12,12,0,1,1,1,,,9,0.25073070905636996,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
12,,,,,,0,12,12,12,,,,,,,,,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
