count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,participant,session,date,expName,psychopyVersion,frameRate,
1,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,space,0.619112270000187,space,0.41936002199872746,space,0.4027303299990308,,,',001,2019_Feb_28_1356,body_behavioural,3.0.4,60.1008282755583,
1,The grocery store was not the place Emmanuella and Liam wanted to be at the moment considering they had been fighting beforehand to the point where Emmanuella was thinking of breaking up with Liam.,1,1,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,1,0.8868598349981767,',001,2019_Feb_28_1356,body_behavioural,3.0.4,60.1008282755583,
1,"However, they had to go grocery shopping because they were hosting a dinner party for friends that evening and had no groceries. ",1,1,,,0,1,1,1,,,,,0,1,1,1,,,,,,,,,,,9,0.21740337700248347,',001,2019_Feb_28_1356,body_behavioural,3.0.4,60.1008282755583,
1,The grocery store was dimly lit and had dark wood paneling for all the shelves.,1,1,,,0,1,1,1,,,,,0,2,2,2,,,,,,,,,,,1,0.1363921299998765,',001,2019_Feb_28_1356,body_behavioural,3.0.4,60.1008282755583,
1,"The store specialized in organic produce and products catering to desires for high-end products, such as imported cheeses and sauces. ",1,1,,,0,1,1,1,,,,,0,3,3,3,,,,,,,,,,,9,0.2528697449997708,',001,2019_Feb_28_1356,body_behavioural,3.0.4,60.1008282755583,
1,"Emmanuella felt angry as she headed immediately for the pasta section, and Liam trailed behind her. ",2,1,,,0,1,1,1,,,,,0,4,4,4,,,,,,,,,,,1,0.11972318699918105,',001,2019_Feb_28_1356,body_behavioural,3.0.4,60.1008282755583,
1,Emmanuella selected a few boxes of linguine.,2,1,,,0,1,1,1,,,,,0,5,5,5,,,,,,,,,,,9,0.15298219499891275,',001,2019_Feb_28_1356,body_behavioural,3.0.4,60.1008282755583,
1,"“I guess we are having pasta tonight,” Liam said.",2,1,,,0,1,1,1,,,,,0,6,6,6,,,,,,,,,,,1,0.10314686499987147,',001,2019_Feb_28_1356,body_behavioural,3.0.4,60.1008282755583,
1,"Emmanuella looked back at him and said, “Well if you were going to actually help cook, I would be fine with something else.”",2,1,,,0,1,1,1,,,,,0,7,7,7,,,,,,,,,,,9,0.05321243000071263,',001,2019_Feb_28_1356,body_behavioural,3.0.4,60.1008282755583,
1,"Liam sighed, and finally said, “You don’t want me to help.",2,1,,,0,1,1,1,,,,,0,8,8,8,,,,,,,,,,,1,0.11964206500124419,',001,2019_Feb_28_1356,body_behavioural,3.0.4,60.1008282755583,
1,"I try to, but it seems like I always get in the way!” ",2,1,,,0,1,1,1,,,,,0,9,9,9,,,,,,,,,,,9,0.06965833299909718,',001,2019_Feb_28_1356,body_behavioural,3.0.4,60.1008282755583,
1,"Emmanuella angrily threw the pasta into the cart, losing her temper.",2,1,,,0,1,1,1,,,,,0,10,10,10,,,,,,,,,,,9,0.26748031999886734,',001,2019_Feb_28_1356,body_behavioural,3.0.4,60.1008282755583,
1," “Liam, you don’t even try!",2,1,,,0,1,1,1,,,,,0,11,11,11,,,,,,,,,,,1,0.1363812349991349,',001,2019_Feb_28_1356,body_behavioural,3.0.4,60.1008282755583,
1,You know what?,2,1,,,0,1,1,1,,,,,0,12,12,12,,,,,,,,,,,9,0.35301651999907335,',001,2019_Feb_28_1356,body_behavioural,3.0.4,60.1008282755583,
1,I don’t think I can do this anymore. ,2,2,,,0,1,1,1,,,,,0,13,13,13,,,,,,,,,,,1,0.3029738969999016,',001,2019_Feb_28_1356,body_behavioural,3.0.4,60.1008282755583,
1,"I was going to wait until after this unfortunately-timed dinner party tonight to talk about this, but I might as well say it now: I don’t want to be in a relationship with you anymore.",2,2,,,0,1,1,1,,,,,0,14,14,14,,,,,,,,,,,9,0.6193120729985822,',001,2019_Feb_28_1356,body_behavioural,3.0.4,60.1008282755583,
1," I’m tired of the constant fighting, and I feel like when we try to do anything fun anymore it ends up unpleasant for the stupidest reasons, and I am just past  trying to work things out.”",2,2,,,0,1,1,1,,,,,0,15,15,15,,,,,,,,,,,1,0.3025196839989803,',001,2019_Feb_28_1356,body_behavioural,3.0.4,60.1008282755583,
1,"Liam refused to look at her as she picked out sauces for the pasta, and then she threw up her hands, saying, “You know what, if this party is still happening we are going to just eat pasta.”",2,2,,,0,1,1,1,,,,,0,16,16,16,,,,,,,,,,,9,0.30316093799774535,',001,2019_Feb_28_1356,body_behavioural,3.0.4,60.1008282755583,
1,They headed to the checkout area where there was only one station open but it was not crowded at all.,3,2,,,0,1,1,1,,,,,0,17,17,17,,,,,,,,,,,1,0.3362666419998277,',001,2019_Feb_28_1356,body_behavioural,3.0.4,60.1008282755583,
1,Emmanuella sighed and got in line while Liam pretended to be interested in the magazine racks as he thought. ,3,2,,,0,1,1,1,,,,,0,18,18,18,,,,,,,,,,,9,0.21929827200074214,',001,2019_Feb_28_1356,body_behavioural,3.0.4,60.1008282755583,
1,"Finally he turned to her and sighed, “Yes, I was thinking the same thing - I think we could definitely be happier with other people.” ",3,3,,,0,1,1,1,,,,,0,19,19,19,,,,,,,,,,,9,0.486416805000772,',001,2019_Feb_28_1356,body_behavioural,3.0.4,60.1008282755583,
1,"As if she hadn't heard him, Emmanuella looked at their cart and said, “I'm not sure this will be enough, could you grab another box of pasta?”",3,3,,,0,1,1,1,,,,,0,20,20,20,,,,,,,,,,,1,0.4030123169977742,',001,2019_Feb_28_1356,body_behavioural,3.0.4,60.1008282755583,
1, Liam scoffed and walked off to quickly get it.,3,3,,,0,1,1,1,,,,,0,21,21,21,,,,,,,,,,,9,0.35297402200012584,',001,2019_Feb_28_1356,body_behavioural,3.0.4,60.1008282755583,
1,"As Emmanuella waited in line, she took a moment to compose herself, deciding that there was no reason to continue making a scene in the store. ",3,3,,,0,1,1,1,,,,,0,22,22,22,,,,,,,,,,,1,0.26999404700109153,',001,2019_Feb_28_1356,body_behavioural,3.0.4,60.1008282755583,
1," Right when Liam came back with the pasta, the cashier started scanning their groceries.",4,3,,,0,1,1,1,,,,,0,23,23,23,,,,,,,,,,,1,0.5025208449987986,',001,2019_Feb_28_1356,body_behavioural,3.0.4,60.1008282755583,
1,"The cost came to $30, and Emmanuella paid with her credit card.",4,3,,,0,1,1,1,,,,,0,24,24,24,,,,,,,,,,,1,0.5029792749992339,',001,2019_Feb_28_1356,body_behavioural,3.0.4,60.1008282755583,
1,"She asked Liam politely to take the bags, and he obliged, following her to toward the exit. ",4,3,,,0,1,1,1,,,,,0,25,25,25,,,,,,,,,,,1,0.35305630700167967,',001,2019_Feb_28_1356,body_behavioural,3.0.4,60.1008282755583,
1,"“Liam, I think we are making the right decision.",4,4,,,0,1,1,1,,,,,0,26,26,26,,,,,,,,,,,1,0.2529120969993528,',001,2019_Feb_28_1356,body_behavioural,3.0.4,60.1008282755583,
