count,storyText,locationEvent,socialEvent,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,participant,session,date,expName,psychopyVersion,frameRate,
3,"Sven and Isabel walked hurriedly from the cab into the Barcelona Airport after an incredible weekend with Isabel’s family, which had wiped away any doubts Sven had had about his decision to propose. ",1,1,,0,3,3,3,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,None,,,,,,,,,',001,2019_Feb_21_1149,body_behavioural,3.0.4,59.94854676180003,
3,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1149,body_behavioural,3.0.4,59.94854676180003,
4,,,,,0,4,4,4,0,0,0,0,,,,,,,,,,,,,,,,,space,0.4198276150000311,space,0.40286014699995576,space,0.8196492530000796,,,,,,,,,,',001,2019_Feb_21_1149,body_behavioural,3.0.4,59.94854676180003,
4,Mr. Shelton and Mr. Gordon shook hands inside the foyer of the restaurant: lunch today was about big business. ,1,1,,0,4,4,4,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,None,,,,,,,,,',001,2019_Feb_21_1149,body_behavioural,3.0.4,59.94854676180003,
4,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1149,body_behavioural,3.0.4,59.94854676180003,
5,,,,,0,5,5,5,0,0,0,0,,,,,,,,,,,,,,,,,space,0.2698056530002759,space,0.3672833629998422,space,0.4361049429999184,,,,,,,,,,',001,2019_Feb_21_1149,body_behavioural,3.0.4,59.94854676180003,
5,"Alex was a distracted, sweaty mess as he walked into the grocery store with Chloe; he was hoping that she wouldn't suspect that he was about to propose.",1,1,,0,5,5,5,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,None,,,,,,,,,',001,2019_Feb_21_1149,body_behavioural,3.0.4,59.94854676180003,
5,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1149,body_behavioural,3.0.4,59.94854676180003,
6,,,,,0,6,6,6,0,0,0,0,,,,,,,,,,,,,,,,,space,0.3008297449996462,space,0.3109352599999511,space,0.4694248350001544,,,,,,,,,,',001,2019_Feb_21_1149,body_behavioural,3.0.4,59.94854676180003,
6,"Leon and  Ariana hurried into the classroom at the same time, and Leon did a double-take when he saw her. ",1,1,,0,6,6,6,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,None,,,,,,,,,',001,2019_Feb_21_1149,body_behavioural,3.0.4,59.94854676180003,
6,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1149,body_behavioural,3.0.4,59.94854676180003,
7,,,,,0,7,7,7,0,0,0,0,,,,,,,,,,,,,,,,,space,0.36957087500013586,space,0.5006908630002727,space,0.5530546899999536,,,,,,,,,,',001,2019_Feb_21_1149,body_behavioural,3.0.4,59.94854676180003,
7,"James noticed Teresa immediately as she walked into the restaurant - or, more accurately as she attempted to walk into the restaurant. ",1,1,,0,7,7,7,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,None,,,,,,,,,',001,2019_Feb_21_1149,body_behavioural,3.0.4,59.94854676180003,
7,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1149,body_behavioural,3.0.4,59.94854676180003,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.002571250000074,space,0.30297717700022986,,,,,,',001,2019_Feb_21_1149,body_behavioural,3.0.4,59.94854676180003,
,,,,The next task in the experiment is to recall each story to the best of your ability.,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,space,0.5031072520000635,,,,',001,2019_Feb_21_1149,body_behavioural,3.0.4,59.94854676180003,
,,,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,space,0.38630456500004584,,,,',001,2019_Feb_21_1149,body_behavioural,3.0.4,59.94854676180003,
,,,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,space,0.419451047000166,,,,',001,2019_Feb_21_1149,body_behavioural,3.0.4,59.94854676180003,
,,,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,space,0.3197405749997415,,,,',001,2019_Feb_21_1149,body_behavioural,3.0.4,59.94854676180003,
,,,,There is a 5 minute time limit to make your response. ,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,space,0.3840210950002074,,,,',001,2019_Feb_21_1149,body_behavioural,3.0.4,59.94854676180003,
0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,space,0.35284302999980355,Kjf,',001,2019_Feb_21_1149,body_behavioural,3.0.4,59.94854676180003,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6528041950000443,,,,,,,,
