count,storyText,locationEvent,socialEvent,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,key_resp_5.keys,key_resp_5.rt,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,recall,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,participant,session,date,expName,frameRate,
0,"They dropped their belongings and hugged, and Sven slipped the ring onto Isabel’s finger. ",3,4,,0,0,0,0,0,29,29,29,,,,,,,,,,,,,,,,,,,,,1,5.470805985969491,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
0,"After getting their shoes back on, they practically skipped to the gate, filled with joy.",3,4,,0,0,0,0,0,30,30,30,,,,,,,,,,,,,,,,,,,,,1,1.9552762159146369,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
0,Sven high-fived a confused shoe-shine attendant as they passed.,3,4,,0,0,0,0,0,31,31,31,,,,,,,,,,,,,,,,,,,,,9,0.7018036360386759,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
0,"They sat down outside their gate, having actually made good time, until the attendant called for passengers.",3,4,,0,0,0,0,0,32,32,32,,,,,,,,,,,,,,,,,,,,,9,0.08521974796894938,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
0,"They boarded, sitting together in first class, and had a glass of champagne to celebrate the departure into their new life together.",4,4,,0,0,0,0,0,33,33,33,,,,,,,,,,,,,,,,,,,,,9,0.05178519990295172,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
0,"Some of their neighboring passengers who had witnessed the proposal congratulated them, and a woman next to them showed them that she had been live-tweeting the whole event and that it was already going viral online.",4,4,,0,0,0,0,0,34,34,34,,,,,,,,,,,,,,,,,,,,,9,0.08439379394985735,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
0,"Isabel slid down in her seat with her hands over her face, both embarrassed and overjoyed at the same time.
",4,4,,0,0,0,0,0,35,35,35,,,,,,,,,,,,,,,,,,,,,1,0.002070146962068975,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
1,"Jeff, hoping that today would be a pivotal day for his new business, had only been waiting inside the doors of the airport for a few minutes when he saw William and eagerly waved him over. ",1,1,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,space,1.0188613430364057,1,0.30200909601990134,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
1,"Jeff checked his watch, pleased to see that the two of them had two hours to discuss business before their flights left Boston.",1,1,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,9,0.03491117001976818,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
