count,storyText,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,recall,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,frameRate,
15,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_15_1210,body_behavioural,60.353796748869094,
,,The next task in the experiment is to recall each story to the best of your ability.,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,space,0.2690981790656224,,,,,,,001,2019_Jan_15_1210,body_behavioural,60.353796748869094,
,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,space,0.5187341580167413,,,,,,,001,2019_Jan_15_1210,body_behavioural,60.353796748869094,
,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,space,0.4016790200257674,,,,,,,001,2019_Jan_15_1210,body_behavioural,60.353796748869094,
,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,space,0.3685446500312537,,,,,,,001,2019_Jan_15_1210,body_behavioural,60.353796748869094,
,,There is no time limit for your responses. ,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,space,0.4031759010395035,,,,,,,001,2019_Jan_15_1210,body_behavioural,60.353796748869094,
0,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,They were in a restaurant and were eating alot of food.,,,,,,001,2019_Jan_15_1210,body_behavioural,60.353796748869094,
1,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,Theres was something fisht. she brokeu up with him.,,,,,,001,2019_Jan_15_1210,body_behavioural,60.353796748869094,
2,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,There was somthing very simply about the daouing,,,,,,001,2019_Jan_15_1210,body_behavioural,60.353796748869094,
3,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,Severely n,,,,,,001,2019_Jan_15_1210,body_behavioural,60.353796748869094,
4,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,Fok they are going craz,,,,,,001,2019_Jan_15_1210,body_behavioural,60.353796748869094,
5,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,Thekkwooo busines ,,,,,,001,2019_Jan_15_1210,body_behavioural,60.353796748869094,
6,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,Yay happy hapyengagemnet,,,,,,001,2019_Jan_15_1210,body_behavioural,60.353796748869094,
7,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,Palying,,,,,,001,2019_Jan_15_1210,body_behavioural,60.353796748869094,
8,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,Jskljf,,,,,,001,2019_Jan_15_1210,body_behavioural,60.353796748869094,
9,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,Lkjs df,,,,,,001,2019_Jan_15_1210,body_behavioural,60.353796748869094,
10,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_15_1210,body_behavioural,60.353796748869094,
11,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,Kljlksdfkjl kjf kjdf kjf . they had a buisness proposal and they were in a lecture about aristotle and thery were not paying attention. they were making a business deal about an internet cou,,,,,,001,2019_Jan_15_1210,body_behavioural,60.353796748869094,
12,,,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_15_1210,body_behavioural,60.353796748869094,
13,,,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_15_1210,body_behavioural,60.353796748869094,
14,,,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_15_1210,body_behavioural,60.353796748869094,
15,,,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_15_1210,body_behavioural,60.353796748869094,
,,The next part of the task is to answer specific questions about each story.,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,space,2.7866142069688067,,,,001,2019_Jan_15_1210,body_behavioural,60.353796748869094,
,,The next part of the task is to answer specific questions about each story.,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,001,2019_Jan_15_1210,body_behavioural,60.353796748869094,
,,Hit enter to submit your answer and move onto the next question. ,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,space,1.434320784988813,,,,001,2019_Jan_15_1210,body_behavioural,60.353796748869094,
,,Hit enter to submit your answer and move onto the next question. ,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,001,2019_Jan_15_1210,body_behavioural,60.353796748869094,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.1522050900384784,,,,,,
