count,storyText,locationEvent,socialEvent,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,frameRate,
0,"Mr. Gordon, after taking a contemplative bite of his food, said, “Mr. Shelton, I think we have a deal. ",4,4,,0,0,0,0,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,9,0.03505718800079194,,,umbrella,001,2019_Feb_11_1046,body_behavioural,59.97721225796691,
0,"If you can guarantee that I can still have the final say in the all the work done by my team, I think this could be beneficial for both of us.",4,4,,0,0,0,0,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,1,0.035153975999492104,,,umbrella,001,2019_Feb_11_1046,body_behavioural,59.97721225796691,
0,I propose a toast to the merging of our companies.”,4,4,,0,0,0,0,,,,,0,32,32,32,,,,,,,,,,,,,,,,,,,9,0.034868161999838776,,,umbrella,001,2019_Feb_11_1046,body_behavioural,59.97721225796691,
0,Mr. Shelton grinned and lifted his martini to clink glasses.,4,4,,0,0,0,0,,,,,0,33,33,33,,,,,,,,,,,,,,,,,,,1,0.08586210900102742,,,umbrella,001,2019_Feb_11_1046,body_behavioural,59.97721225796691,
0,"He said, “Cheers to a lifelong partnership and to the growth of your company.” ",4,4,,0,0,0,0,,,,,0,34,34,34,,,,,,,,,,,,,,,,,,,1,0.15874214299947198,,,umbrella,001,2019_Feb_11_1046,body_behavioural,59.97721225796691,
0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,umbrella,001,2019_Feb_11_1046,body_behavioural,59.97721225796691,
1,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,space,0.7013539549989218,space,0.3023774789999152,space,0.6851877909994073,,,,,umbrella,001,2019_Feb_11_1046,body_behavioural,59.97721225796691,
1,The grocery store was not the place Emmanuella and Liam wanted to be at the moment considering they had been fighting beforehand to the point where Emmanuella was thinking of breaking up with Liam.,1,1,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,9,1.0166439500007982,,,umbrella,001,2019_Feb_11_1046,body_behavioural,59.97721225796691,
1,"However, they had to go grocery shopping because they were hosting a dinner party for friends that evening and had no groceries. ",1,1,,0,1,1,1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,1,0.017608748999919044,,,umbrella,001,2019_Feb_11_1046,body_behavioural,59.97721225796691,
1,The grocery store was dimly lit and had dark wood paneling for all the shelves.,1,1,,0,1,1,1,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,9,0.0017475790009484626,,,umbrella,001,2019_Feb_11_1046,body_behavioural,59.97721225796691,
1,"The store specialized in organic produce and products catering to desires for high-end products, such as imported cheeses and sauces. ",1,1,,0,1,1,1,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,1,0.035365121000722866,,,umbrella,001,2019_Feb_11_1046,body_behavioural,59.97721225796691,
1,"Emmanuella felt angry as she headed immediately for the pasta section, and Liam trailed behind her. ",2,1,,0,1,1,1,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,1,0.11804192599993257,,,umbrella,001,2019_Feb_11_1046,body_behavioural,59.97721225796691,
