count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,storyEvent,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,key_resp_5.keys,key_resp_5.rt,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,recall,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,participant,session,date,expName,frameRate,
0," She was happy to share the meal with him, despite their food tasting pretty bad. ",4,4,,,,,0,0,0,0,0,29,29,29,,,,,,,,,,,,,,,,,,,,,9,4.909778400999983,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
0,"Judging by how salty the pancakes tasted, they suspected that the chef confused the salt and sugar.",4,4,,,,,0,0,0,0,0,30,30,30,,,,,,,,,,,,,,,,,,,,,9,4.586870874999988,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
0,"When the meal was over, they got up, and hugged, parting ways. ",4,4,,,,,0,0,0,0,0,31,31,31,,,,,,,,,,,,,,,,,,,,,1,4.792006108999999,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
0,"“I have to run, got to get to work.",4,4,,,,,0,0,0,0,0,32,32,32,,,,,,,,,,,,,,,,,,,,,9,3.220111069999973,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
0, See you tonight!” James said.,4,4,,,,,0,0,0,0,0,33,33,33,,,,,,,,,,,,,,,,,,,,,9,2.5517372059999843,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
0,"Teresa smiled and walked towards the door without looking, and almost ran into the door again. ",4,4,,,,,0,0,0,0,0,34,34,34,,,,,,,,,,,,,,,,,,,,,9,5.590853268999979,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
0,They both laughed and smiled once more goodbye. ,4,4,,,,,0,0,0,0,0,35,35,35,,,,,,,,,,,,,,,,,,,,,9,1.4856808480000154,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
0,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
1,"Calvin and Jessie were running late to the airport, and Jessie was fuming at Calvin and ready to end things with him.",1,1,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,space,9.238209764999965,1,3.4349901309999495,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
1,When they entered the airport they had only 45 minutes until their international flight would depart from Jamaica for the US.,1,1,,,,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,9,15.122003551999967,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
1,It had been a tough vacation for them: argument-filled and tense from the minute they had landed.,1,1,,,,,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,9,8.936684485,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
1," Jessie had really had it with Calvin’s constant ramblings about the same excruciatingly boring golfing and work stories, which he insisted on repeating to her regardless of how little interest she showed.",1,1,,,,,0,1,1,1,0,3,3,3,,,,,,,,,,,,,,,,,,,,,9,15.072803160000035,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
1,"Calvin knew that Jessie was upset, but wasn't sure what to do besides attempting to keep his mouth shut for the time being. ",1,1,,,,,0,1,1,1,0,4,4,4,,,,,,,,,,,,,,,,,,,,,1,24.258781185999965,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
1," The security line was luckily very short, and once the online boarding passes were scanned, they were ushered quickly through the metal detector, not having to take off their shoes or remove their liquids from their bags.",2,1,,,,,0,1,1,1,0,5,5,5,,,,,,,,,,,,,,,,,,,,,9,20.058403933000022,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
1,"“The infrastructure of this airport is really quite poor," said Calvin as they waited for their bags to emerge from the x-ray machine.",2,1,,,,,0,1,1,1,0,6,6,6,,,,,,,,,,,,,,,,,,,,,9,6.353991264000001,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
1,“I really could've hidden something in my shoes quite easily.” ,2,1,,,,,0,1,1,1,0,7,7,7,,,,,,,,,,,,,,,,,,,,,9,4.869134946000031,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
1,"Jessie, exasperated at his need to broadcast his every inner thought to the world, scowled at the conveyor belt.",2,1,,,,,0,1,1,1,0,8,8,8,,,,,,,,,,,,,,,,,,,,,9,25.694115952000004,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
1,“What?” he said.,2,1,,,,,0,1,1,1,0,9,9,9,,,,,,,,,,,,,,,,,,,,,9,1.0853320370000006,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
1,She balled up her fists and turned to face him.,2,1,,,,,0,1,1,1,0,10,10,10,,,,,,,,,,,,,,,,,,,,,9,1.8177612289999843,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
1,"“Calvin, I really don’t think I can do this anymore.",2,2,,,,,0,1,1,1,0,11,11,11,,,,,,,,,,,,,,,,,,,,,9,4.702838460999999,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
1,I think it’s best that once we get to the States we part ways for good.” ,2,2,,,,,0,1,1,1,0,12,12,12,,,,,,,,,,,,,,,,,,,,,9,3.3534400700000333,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
1,Calvin said nothing as he grabbed his bag and stormed away.,2,2,,,,,0,1,1,1,0,13,13,13,,,,,,,,,,,,,,,,,,,,,1,35.912507558000016,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
1,"Jessie trailed behind him as they made their way quickly toward their gate, shouting at his back in hopes of getting a response.",3,2,,,,,0,1,1,1,0,14,14,14,,,,,,,,,,,,,,,,,,,,,9,4.572455589000015,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
1, “So now you have nothing to say?,3,2,,,,,0,1,1,1,0,15,15,15,,,,,,,,,,,,,,,,,,,,,9,1.2502649150000025,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
1,"Every time we talk, you are just looking for a way to steer the conversation back into stories that you are the only one interested in.”",3,2,,,,,0,1,1,1,0,16,16,16,,,,,,,,,,,,,,,,,,,,,9,4.601672527000005,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
1,"Calvin didn't slow his pace, gritting his teeth and staring straight ahead. ",3,2,,,,,0,1,1,1,0,17,17,17,,,,,,,,,,,,,,,,,,,,,9,2.852880259000017,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
1,The silence was punctuated only by the rapid rhythmic clacking of their suitcase wheels over the tile floor as they continued power-walking through the terminal. ,3,2,,,,,0,1,1,1,0,18,18,18,,,,,,,,,,,,,,,,,,,,,9,3.2687652119999484,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
1," “Well?” Jessie said, and Calvin finally turned to her.",3,2,,,,,0,1,1,1,0,19,19,19,,,,,,,,,,,,,,,,,,,,,9,4.3531003159999955,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
