count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,participant,session,date,expName,frameRate,
1,"He brought out some very small menus, with a short list of the celebrity chef's carefully selected daily dishes written in a loopy, cursive font unadorned by any mention of prices.",2,1,None,9.0,0,1,1,1,,,,,0,7,7,7,,,,,,,,,,,1,0.10070334699958039,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
1,Senna slipped off to the bathroom to check to make sure the ring was in order.,2,2,None,None,0,1,1,1,,,,,0,8,8,8,,,,,,,,,,,9,0.05101953899975342,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
1,"The ring contained a canary diamond that had been in his grandmother’s wedding ring, and it was a brilliant stone that was accentuated by the small white diamonds encircling it.",2,2,None,None,0,1,1,1,,,,,0,9,9,9,,,,,,,,,,,1,0.05166621099851909,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
1,"He walked back to the table after handing the small, velvet box to a waiter at the front podium.",2,2,6.0,None,0,1,1,1,,,,,0,10,10,10,,,,,,,,,,,9,0.00176212999940617,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
1,He came back just as their waiter was approaching the table to get their order.,3,2,None,None,0,1,1,1,,,,,0,11,11,11,,,,,,,,,,,1,0.10753085299984377,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
1,"Senna ordered the oysters with garlic-parmesan sauce, and Alvira ordered the sauteed sea scallops with caramelized apples. ",3,2,None,None,0,1,1,1,,,,,0,12,12,12,,,,,,,,,,,1,0.1659878819991718,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
1,"“Excellent choices,” the waiter said with a subsequent brisk spin away from the table.",3,2,None,None,0,1,1,1,,,,,0,13,13,13,,,,,,,,,,,1,0.1855013059994235,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
1,"“What a beautiful place, Senna. ",3,2,None,None,0,1,1,1,,,,,0,14,14,14,,,,,,,,,,,9,0.01806498800033296,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
1,"Really this is too much just to celebrate the first tomatoes I grew in the garden, like, this is absurd,” Alvira said.",3,2,None,None,0,1,1,1,,,,,0,15,15,15,,,,,,,,,,,1,0.11675672999990638,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
1,"Senna laughed and said, “No, those were really the best tomatoes I’ve ever had. ",3,2,None,None,0,1,1,1,,,,,0,16,16,16,,,,,,,,,,,9,0.02378626199970313,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
1,We had to celebrate.” ,3,2,None,None,0,1,1,1,,,,,0,17,17,17,,,,,,,,,,,1,0.11829527800000506,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
1,"They talked and laughed as the sun sank below the horizon, and the glow from the ocean was replaced by the glow from the chandeliers.",3,2,8.0,None,0,1,1,1,,,,,0,18,18,18,,,,,,,,,,,9,0.018623332000061055,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
1,"The waiter eventually returned with their meals, and everything was even more delicious than they had expected, especially the oysters, which Senna said tasted like the ocean. ",4,2,None,None,0,1,1,1,,,,,0,19,19,19,,,,,,,,,,,1,0.051537903998905676,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
1,Then he paused and looked at Alvira meaningfully. ,4,2,None,None,0,1,1,1,,,,,0,20,20,20,,,,,,,,,,,9,0.05180282699984673,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
1, “It’s really been the best three years of my life with you.,4,2,None,None,0,1,1,1,,,,,0,21,21,21,,,,,,,,,,,1,0.08848861800106533,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
