count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,participant,session,date,expName,frameRate,
0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
1,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.8022083720006776,space,0.5507029309992504,space,0.5851320220008347,,,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
1,Mr. Shelton and Mr. Gordon shook hands inside the foyer of the restaurant: lunch today was about big business. ,1,1,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.9345981610003946,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
1,Mr. Shelton and Mr. Gordon both were CEOs of airplane manufacturing companies.,1,1,,,,0,1,1,1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.03867308199914987,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
1,"Mr. Shelton was in charge of a larger, well-established company and had been in the aviation business for decades, whereas Mr. Gordon led a smaller but technologically-advanced company that was projected to disrupt the airplane manufacturing market. ",1,1,,,,0,1,1,1,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.06828044400026556,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
1,"The restaurant they chose to meet at was old and fancy with high ceilings, dark wood paneling, and crystal chandeliers.",1,1,,,,0,1,1,1,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.06792119700003241,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
1,"The waitress led them to their table in the back, and they settled into a private table in the corner by the fireplace. ",2,1,,,,0,1,1,1,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.10342548699918552,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
1,The waitress brought out the menus and they broke the ice with some small talk.,2,1,,,,0,1,1,1,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.1016084069997305,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
1,"Mr. Gordon took out a picture of his daughter and talked about her recent engagement, and Mr. Gordon boasted about his purchase of a Tesla. ",2,1,,,,0,1,1,1,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.00030098199931671843,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
1,"They looked at the menus as well, which were full of Italian classics like Carbonara and Tiramisu, and in the back section of the menu was a lengthy drink selection.",2,1,,,,0,1,1,1,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.08466076500008057,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
1,"After awhile, Mr. Shelton brought the conversation around to business.",2,2,,,,0,1,1,1,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.15041908899911505,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
1,"“Mr. Gordon, we really admire what you’re doing at your company.",2,2,,,,0,1,1,1,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.08490631899985601,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
1,We think it’s genius; we want to support your vision and make this tiny company of yours internationally known.,2,2,,,,0,1,1,1,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.001957057000254281,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
1,"But honestly, your company doesn’t have the resources to reach international markets right now, maybe in a few years you could, but by that time, other companies may have already filled your niche.",2,2,,,,0,1,1,1,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.018866106000132277,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
1,I think we should join forces.”,2,2,,,,0,1,1,1,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.15184803900046973,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
1,The waitress came up to them and asked if they were ready to order.,3,2,,,,0,1,1,1,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.11851169500005199,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
1,"Mr. Gordon ordered a medium-rare steak and martini, and Mr. Shelton ordered veal and a manhattan. ",3,2,,,,0,1,1,1,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0231204190004064,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
1,"Then Mr. Shelton continued, “Look, I’ve talked to other members of the board, and we are prepared to offer $600 million to buy your company. ",3,2,,,,0,1,1,1,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.03602999199938495,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
1,"We'd keep on all of your current employees, and you would join as the director of your company branch.” ",3,2,,,,0,1,1,1,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.017835742999523063,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
1,Mr. Gordon sat looking at Mr. Shelton for a few moments considering his response. ,3,2,,,,0,1,1,1,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.040680821000933065,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
1,He looked at Mr. Shelton skeptically.,3,2,,,,0,1,1,1,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.050814514999729,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
1,"He said, “Mr. Shelton, I think that you make a compelling offer, but there are definitely some disadvantages to attaching our small, streamlined productions to a large company like yours.",3,3,,,,0,1,1,1,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.15040035200036073,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
1,"We operate in a very different way than a large company, and the kind of administrative complexity that makes the scale of your productions possible would suffocate our business.",3,3,,,,0,1,1,1,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.018401818999336683,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
1,"With our product, scaling-up doesn’t necessarily make sense.” ",3,3,,,,0,1,1,1,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.03599517700058641,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
1,Mr. Shelton had expected this response and had come prepared.,3,3,,,,0,1,1,1,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0682297990006191,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
1,He began laying out the details of how he had handled similar acquisitions successfully in the past.,3,3,,,,0,1,1,1,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.0017802719994506333,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
1,"Mr. Gordon was impressed, and they went back and forth hashing out what the company configuration would look like post-merger. ",3,3,,,,0,1,1,1,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.10144102699996438,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
1,"The waitress brought the food out, interrupting their animated conversation.",4,3,,,,0,1,1,1,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.10216567399947962,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
1,“Oh this looks so good!” Mr. Gordon said. ,4,3,,,,0,1,1,1,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.15180654899995716,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
