instruct_text,rolePic,job,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Q1,Q2,Q3,Q4,D1,D2,roleName,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_8.keys,key_resp_8.rt,key_resp_19.keys,key_resp_19.rt,key_resp_20.keys,key_resp_20.rt,key_resp_21.keys,key_resp_21.rt,key_resp_15.keys,key_resp_15.rt,key_resp_16.keys,key_resp_16.rt,key_resp_17.keys,key_resp_17.rt,key_resp_2.keys,key_resp_2.rt,key_resp_14.keys,key_resp_14.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,psychopyVersion,frameRate,
,jobphotos/dean.jpg,Dean of Academic Studies,,,,,,,,,,,,,,,,,,,,,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5364484199999424,,,,,,,,,,,,,',001,2019_Jun_20_1300,part1_subjective_segmentation,3.0.4,60.01958919455446,
,jobphotos/restaurant_critic.jpg,Restaurant Critic,,,,,,,,,,,,,,,,,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4358643579980708,,,,,,,,,,,,,',001,2019_Jun_20_1300,part1_subjective_segmentation,3.0.4,60.01958919455446,
,jobphotos/acem.jpg,Airport Customer Experience Manager,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4196453750009823,,,,,,,,,,,,,',001,2019_Jun_20_1300,part1_subjective_segmentation,3.0.4,60.01958919455446,
,jobphotos/business_reporter.jpg,Business Reporter,,,,,,,,,,,,,,,,,,,,,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3532108330000483,,,,,,,,,,,,,',001,2019_Jun_20_1300,part1_subjective_segmentation,3.0.4,60.01958919455446,
,jobphotos/matchmaker.jpg,Matchmaker,,,,,,,,,,,,,,,,,,,,,0,6,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3359075070002291,,,,,,,,,,,,,',001,2019_Jun_20_1300,part1_subjective_segmentation,3.0.4,60.01958919455446,
,jobphotos/weddingplanner.jpg,Wedding Planner,,,,,,,,,,,,,,,,,,,,,0,7,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.28651901299963356,,,,,,,,,,,,,',001,2019_Jun_20_1300,part1_subjective_segmentation,3.0.4,60.01958919455446,
You’ll become acquainted with these perspectives more in the following quizzes where you’ll learn the 4 questions associated with each perspective. ,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,space,4.469772108001052,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_20_1300,part1_subjective_segmentation,3.0.4,60.01958919455446,
"For each perspective, you'll go through all four questions in a sequence. ",,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,space,2.0865033449990733,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_20_1300,part1_subjective_segmentation,3.0.4,60.01958919455446,
Then you'll get the quiz and indicate which questions you saw in the order in which they appeared in the sequence. ,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,space,8.920041674999084,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_20_1300,part1_subjective_segmentation,3.0.4,60.01958919455446,
You'll indicate the question you select by pressing the number key corresponding to the number in front of the question. ,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,space,4.6864822400020785,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_20_1300,part1_subjective_segmentation,3.0.4,60.01958919455446,
"If you indicate the wrong question during the quiz, you'll get the questions presented in the correct order again and restart the quiz. ",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,space,2.9365169769989734,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_20_1300,part1_subjective_segmentation,3.0.4,60.01958919455446,
"After you've passed the quizzes for each perspective, you'll do all of the quizzes a final time but without seeing the correct order of the questions beforehand.",,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,space,2.8176422380020085,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_20_1300,part1_subjective_segmentation,3.0.4,60.01958919455446,
Press space to begin the quizzes!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,space,0.7194032420011354,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_20_1300,part1_subjective_segmentation,3.0.4,60.01958919455446,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4861975040003017,space,0.48595683600069606,space,0.43647936599882087,space,0.36899482600347255,space,0.3355237930009025,space,0.5007084809985827,,,,,,,
