count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,story,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,"The ring contained a canary diamond that had been in his grandmother’s wedding ring, and it was a brilliant stone that was accentuated by the small white diamonds encircling it.",2,2,None,None,None,0,0,0,0,,,,,0,9,9,9,,,,,,,,,,,9,0.053300331986974925,',001,2019_Mar_26_1312,body_behavioural,3.0.4,59.972846224870445,
0,"He walked back to the table after handing the small, velvet box to a waiter at the front podium.",2,2,6.0,None,None,0,0,0,0,,,,,0,10,10,10,,,,,,,,,,,1,0.15187510999385267,',001,2019_Mar_26_1312,body_behavioural,3.0.4,59.972846224870445,
0,He came back just as their waiter was approaching the table to get their order.,3,2,None,None,None,0,0,0,0,,,,,0,11,11,11,,,,,,,,,,,9,0.2697231299825944,',001,2019_Mar_26_1312,body_behavioural,3.0.4,59.972846224870445,
0,"Senna ordered the oysters with garlic-parmesan sauce, and Alvira ordered the sauteed sea scallops with caramelized apples. ",3,2,None,None,None,0,0,0,0,,,,,0,12,12,12,,,,,,,,,,,1,0.17003733001183718,',001,2019_Mar_26_1312,body_behavioural,3.0.4,59.972846224870445,
0,"“Excellent choices,” the waiter said with a subsequent brisk spin away from the table.",3,2,None,None,None,0,0,0,0,,,,,0,13,13,13,,,,,,,,,,,9,25.567997793958057,',001,2019_Mar_26_1312,body_behavioural,3.0.4,59.972846224870445,
0,"“What a beautiful place, Senna. ",3,2,None,None,None,0,0,0,0,,,,,0,14,14,14,,,,,,,,,,,1,5.254525444994215,',001,2019_Mar_26_1312,body_behavioural,3.0.4,59.972846224870445,
0,"Really this is too much just to celebrate the first tomatoes I grew in the garden, like, this is absurd,” Alvira said.",3,2,None,None,None,0,0,0,0,,,,,0,15,15,15,,,,,,,,,,,9,18.28552482003579,',001,2019_Mar_26_1312,body_behavioural,3.0.4,59.972846224870445,
0,"Senna laughed and said, “No, those were really the best tomatoes I’ve ever had. ",3,2,None,None,None,0,0,0,0,,,,,0,16,16,16,,,,,,,,,,,1,0.11987580801360309,',001,2019_Mar_26_1312,body_behavioural,3.0.4,59.972846224870445,
0,We had to celebrate.” ,3,2,None,None,None,0,0,0,0,,,,,0,17,17,17,,,,,,,,,,,9,0.08634848502697423,',001,2019_Mar_26_1312,body_behavioural,3.0.4,59.972846224870445,
0,"They talked and laughed as the sun sank below the horizon, and the glow from the ocean was replaced by the glow from the chandeliers.",3,2,8.0,None,None,0,0,0,0,,,,,0,18,18,18,,,,,,,,,,,None,,',001,2019_Mar_26_1312,body_behavioural,3.0.4,59.972846224870445,
0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,',001,2019_Mar_26_1312,body_behavioural,3.0.4,59.972846224870445,
