count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,key_resp_14.keys,key_resp_14.rt,story_presses.keys,story_presses.rt,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,questions time,key_resp_13.keys,key_resp_13.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6192194350005593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
1,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.22024145300019882,space,0.4368575700009387,space,0.6340523199996824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
1,,,,,,,0,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.2863351899995905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
1,"James noticed Teresa immediately as she walked into the restaurant - or, more accurately as she attempted to walk into the restaurant. ",1,1,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4197621799994522,1,0.503288888001407,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
1,"She was typing intently on her phone and ran straight into the diner's clear, glass door with an echoing thud. ",1,1,,,,0,1,1,1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.16967478500009747,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
1,Everyone waiting around the cash register turned to see if she was okay.,1,1,,,,0,1,1,1,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.17072794699924998,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
1,Teresa rubbed her head.,1,1,,,,0,1,1,1,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.0862600519994885,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
1,"While being both confused and unembarrassed, she looked mostly indignant that the door had been in her way. ",1,1,,,,0,1,1,1,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.1366160920006223,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
1,James found this quite charming and stole a couple glances at her until she noticed and wrinkled her eyebrows at him in suspicion. ,1,1,,,,0,1,1,1,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.1364156500003446,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
1,"The restaurant they were in was a cabin-themed diner with wooden booths and bar, walls covered in plaid blankets, and antler decorations. ",1,1,,,,0,1,1,1,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.16962165699987963,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
1,The waiter saw that James and Teresa were both alone and motioned to both of them. ,1,1,,,,0,1,1,1,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.1862853049988189,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
1,“Right this way.,2,1,,,,0,1,1,1,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.05317970000032801,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
1,You two don't mind sitting at the counter?” ,2,1,,,,0,1,1,1,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.003195568000592175,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
1,They sat a seat apart from each other on the split tree trunk that served as a bench.,2,1,,,,0,1,1,1,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.05047044700040715,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
1, The waitress behind the counter gave them bright neon menus that were filled with breakfast items.,2,1,,,,0,1,1,1,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.03642665999905148,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
1,"Teresa quickly glanced through it, then pulled out a book and started reading it while James played with the salt and pepper shakers as he tried to think of an excuse to talk to Teresa.",2,1,,,,0,1,1,1,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.1533769969992136,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
1,"James eventually turned to her and asked, “Your forehead alright?”",2,2,,,,0,1,1,1,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.037476262001291616,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
1,She put down her book and gave him a smirk.,2,2,,,,0,1,1,1,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.10309499199865968,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
