count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,frameRate,
1,I don’t understand.,3,3,None,None,,0,1,1,1,0,42,42,42,,,,,,,,,,,,,,,,,,,1,0.0018613409483805299,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
1,Things were fine. ,3,3,None,None,,0,1,1,1,0,43,43,43,,,,,,,,,,,,,,,,,,,9,0.1178340339101851,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
1,"We don’t have to hang out all the time, or as much as we do now.”",3,3,None,None,,0,1,1,1,0,44,44,44,,,,,,,,,,,,,,,,,,,1,0.03420376207213849,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
1,Thomas chewed on his bottom lip and picked at his now bleeding hangnail. ,3,3,20.0,None,,0,1,1,1,0,45,45,45,,,,,,,,,,,,,,,,,,,9,0.1009264950407669,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
1,"At that moment, the waiter arrived with the burger and reuben, and set them on the table.",4,3,None,None,,0,1,1,1,0,46,46,46,,,,,,,,,,,,,,,,,,,1,0.05085951299406588,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
1, “Is there anything else I can get for you two?,4,3,None,None,,0,1,1,1,0,47,47,47,,,,,,,,,,,,,,,,,,,9,0.06904403702355921,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
1,Will you be getting desserts tonight?” he asked.,4,3,None,None,,0,1,1,1,0,48,48,48,,,,,,,,,,,,,,,,,,,1,0.06925524398684502,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
1,"“Oh no, we’re good, thanks.” Thomas said.",4,3,None,None,,0,1,1,1,0,49,49,49,,,,,,,,,,,,,,,,,,,9,0.033033423009328544,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
1,"Once the waiter had quickly walked away, Thomas sighed and said, “Sadie, I’m sorry.",4,3,None,None,,0,1,1,1,0,50,50,50,,,,,,,,,,,,,,,,,,,1,0.08438182203099132,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
1,"You are so great, and I love hanging out with you.",4,3,None,None,,0,1,1,1,0,51,51,51,,,,,,,,,,,,,,,,,,,9,0.16763602604623884,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
1,"But I need some time, I’m so sorry.”",4,3,None,None,,0,1,1,1,0,52,52,52,,,,,,,,,,,,,,,,,,,9,0.13492316799238324,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
