count,storyText,locationEvent,socialEvent,story,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,key_resp_15.keys,key_resp_15.rt,key_resp_14.keys,key_resp_14.rt,story_presses.keys,story_presses.rt,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,participant,session,date,expName,psychopyVersion,frameRate,
0,"She asked Liam politely to take the bags, and he obliged, following her to the exit. ",4.0,3.0,None,,,,0,0,0,0,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,15.104595231998246,,,,,,,,,,,,,,,,,,,,,,,,,062119_p1,001,2019_Jun_21_1520,body_behavioural,3.0.4,60.00427158398957,
0,"Filled with a sudden wave of sadness, Emmanuella said, “Liam, I think we are making the right decision- this is good.”",4.0,4.0,None,,,,0,0,0,0,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10.68471291699825,,,,,,,,,,,,,,,,,,,,,,,,,062119_p1,001,2019_Jun_21_1520,body_behavioural,3.0.4,60.00427158398957,
0,"“I agree,” he said, relieved at the hope he was entertaining that they had just gotten through their last fight. ",4.0,4.0,None,,,,0,0,0,0,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.23706278699683,,,,,,,,,,,,,,,,,,,,,,,,,062119_p1,001,2019_Jun_21_1520,body_behavioural,3.0.4,60.00427158398957,
0,"“I think we can still host this dinner tonight, as long as you're still on board,” Emmanuella said.",4.0,4.0,None,,,,0,0,0,0,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.237138585005596,,,,,,,,,,,,,,,,,,,,,,,,,062119_p1,001,2019_Jun_21_1520,body_behavioural,3.0.4,60.00427158398957,
0,"Liam nodded, “Yes, let’s just not tell anyone we’ve broken up tonight.” ",4.0,4.0,None,,,,0,0,0,0,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.653183918002469,,,,,,,,,,,,,,,,,,,,,,,,,062119_p1,001,2019_Jun_21_1520,body_behavioural,3.0.4,60.00427158398957,
0,"Emmanuella laughed, “Whoever leaks it loses their right to the cat.”",4.0,4.0,None,,,,0,0,0,0,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13.734842691999802,,,,,,,,,,,,,,,,,,,,,,,,,062119_p1,001,2019_Jun_21_1520,body_behavioural,3.0.4,60.00427158398957,
0,"Liam chuckled and responded, “Hey!",4.0,4.0,None,,,,0,0,0,0,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.003437407001911,,,,,,,,,,,,,,,,,,,,,,,,,062119_p1,001,2019_Jun_21_1520,body_behavioural,3.0.4,60.00427158398957,
0,Luna is mine and I want her back.”,4.0,4.0,None,,,,0,0,0,0,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2.8698432719975244,,,,,,,,,,,,,,,,,,,,,,,,,062119_p1,001,2019_Jun_21_1520,body_behavioural,3.0.4,60.00427158398957,
0,"Emmanuella rolled her eyes, knowing the cat would be a whole other issue to sort out later.
",4.0,4.0,None,,,,0,0,0,0,,,,,0,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.886538005004695,,,,,,,,,,,,,,,,,,,,,,,,,062119_p1,001,2019_Jun_21_1520,body_behavioural,3.0.4,60.00427158398957,
0,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,062119_p1,001,2019_Jun_21_1520,body_behavioural,3.0.4,60.00427158398957,
1,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,7.520120017004956,space,25.8883436670003,space,2.6029979629965965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,062119_p1,001,2019_Jun_21_1520,body_behavioural,3.0.4,60.00427158398957,
1,"Charlie saw Alma as they walked into class, and he motioned for her to come sit in the back next to him because they had a deal to discuss.",1,1,34.0,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.453143282997189,space,2.0194790300010936,9,39.555337859994324,,,,,,,,,,,,,,,,,,,,,,,,,062119_p1,001,2019_Jun_21_1520,body_behavioural,3.0.4,60.00427158398957,
1,Charlie and Alma were both history majors with entrepreneurial bents.,1,1,None,,,,0,1,1,1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5.019534922997991,,,,,,,,,,,,,,,,,,,,,,,,,062119_p1,001,2019_Jun_21_1520,body_behavioural,3.0.4,60.00427158398957,
1,They were also both very busy and happened to be in the same class.,1,1,None,,,,0,1,1,1,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13.27184267800476,,,,,,,,,,,,,,,,,,,,,,,,,062119_p1,001,2019_Jun_21_1520,body_behavioural,3.0.4,60.00427158398957,
1,"After talking at a party, Charlie had discovered that Alma was looking for financing for her web development company of which she was the founder and CEO.",1,1,None,,,,0,1,1,1,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,11.169818918999226,,,,,,,,,,,,,,,,,,,,,,,,,062119_p1,001,2019_Jun_21_1520,body_behavioural,3.0.4,60.00427158398957,
1,It was serendipitous because he was an investment analyst for a student finance group on campus and he had been talking with other members of the group about making a new investment. ,1,1,None,,,,0,1,1,1,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9.170416984998155,,,,,,,,,,,,,,,,,,,,,,,,,062119_p1,001,2019_Jun_21_1520,body_behavioural,3.0.4,60.00427158398957,
1,"His financial group had come to a decision that morning about Alma’s startup, and he didn't want to wait until after class to discuss the proposal with her. ",1,1,None,,,,0,1,1,1,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7.4005261569982395,,,,,,,,,,,,,,,,,,,,,,,,,062119_p1,001,2019_Jun_21_1520,body_behavioural,3.0.4,60.00427158398957,
1,The class was in a medium-sized auditorium which was brightly lit and very modern-looking. ,1,1,None,,,,0,1,1,1,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5.0706336200018995,,,,,,,,,,,,,,,,,,,,,,,,,062119_p1,001,2019_Jun_21_1520,body_behavioural,3.0.4,60.00427158398957,
1,There were three projector screens in the front and each row of the audience had a table with power outlets and USB ports. ,1,1,None,,,,0,1,1,1,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8.85353206700529,,,,,,,,,,,,,,,,,,,,,,,,,062119_p1,001,2019_Jun_21_1520,body_behavioural,3.0.4,60.00427158398957,
1,“Here we are at Lecture Seven of Archaeology of Rome” said the professor. ,2,1,None,,,,0,1,1,1,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,16.754013940000732,,,,,,,,,,,,,,,,,,,,,,,,,062119_p1,001,2019_Jun_21_1520,body_behavioural,3.0.4,60.00427158398957,
1,"“The topic for today is Augustus, an incredibly important influence in Roman architecture.” ",2,1,None,,,,0,1,1,1,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.120491632995254,,,,,,,,,,,,,,,,,,,,,,,,,062119_p1,001,2019_Jun_21_1520,body_behavioural,3.0.4,60.00427158398957,
1,She went into some recap of the last lecture.,2,1,None,,,,0,1,1,1,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.1852253649994964,,,,,,,,,,,,,,,,,,,,,,,,,062119_p1,001,2019_Jun_21_1520,body_behavioural,3.0.4,60.00427158398957,
1,"Charlie turned to Alma and said, “Okay, so I’ve been thinking about your startup, and I have talked about it with my fellow investors.",2,2,None,,,,0,1,1,1,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5.336986466994858,,,,,,,,,,,,,,,,,,,,,,,,,062119_p1,001,2019_Jun_21_1520,body_behavioural,3.0.4,60.00427158398957,
1,We’d like to invest half of what you originally suggested.,2,2,None,,,,0,1,1,1,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.569671875004133,,,,,,,,,,,,,,,,,,,,,,,,,062119_p1,001,2019_Jun_21_1520,body_behavioural,3.0.4,60.00427158398957,
1,"So we propose we start with wiring you $28,000.",2,2,None,,,,0,1,1,1,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.4186250860002474,,,,,,,,,,,,,,,,,,,,,,,,,062119_p1,001,2019_Jun_21_1520,body_behavioural,3.0.4,60.00427158398957,
1,We would see how the company does and then invest the other half later.” ,2,2,None,,,,0,1,1,1,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.086909160003415,,,,,,,,,,,,,,,,,,,,,,,,,062119_p1,001,2019_Jun_21_1520,body_behavioural,3.0.4,60.00427158398957,
