count,storyText,locationEvent,socialEvent,story,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,order of stories,order of perspectives,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,key_resp_15.keys,key_resp_15.rt,key_resp_14.keys,key_resp_14.rt,story_presses.keys,story_presses.rt,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,questions time,key_resp_13.keys,key_resp_13.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,Ms. Bianchi handed to Ms. Morrison a packet with printed graphs of the increase in profits that several other stores in Italy had seen after starting to carry their products.,3.0,2.0,None,,,,0,0,0,0,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.386278496996965,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p1,001,2019_Jun_27_1222,body_behavioural,3.0.4,59.961900079130245,
0,"After a couple minutes of thinking, Ms. Morrison widened her eyes and said confidently, “You know what, I think you've convinced me that this could work. ",3.0,3.0,None,,,,0,0,0,0,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.953642292995937,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p1,001,2019_Jun_27_1222,body_behavioural,3.0.4,59.961900079130245,
0,We've been trying to find a way to add a little European cachet to our stores.,3.0,3.0,None,,,,0,0,0,0,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.986483917979058,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p1,001,2019_Jun_27_1222,body_behavioural,3.0.4,59.961900079130245,
0,"Our competitor, Orange Grocers, hasn’t expanded in this direction yet, and I’d like to beat them to it. ",3.0,3.0,None,,,,0,0,0,0,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.884263132000342,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p1,001,2019_Jun_27_1222,body_behavioural,3.0.4,59.961900079130245,
0,There's still a problem though- I'm worried we'll be paying out the nose for the import taxes.,3.0,3.0,None,,,,0,0,0,0,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6.069866252015345,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p1,001,2019_Jun_27_1222,body_behavioural,3.0.4,59.961900079130245,
0,Is that the case?",3.0,3.0,None,,,,0,0,0,0,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.586401384032797,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p1,001,2019_Jun_27_1222,body_behavioural,3.0.4,59.961900079130245,
0,"It was Ms. Morrison’s turn to check out, and the cashier chatted with Ms. Morrison as she scanned the items.",4.0,3.0,None,,,,0,0,0,0,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.252813984989189,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p1,001,2019_Jun_27_1222,body_behavioural,3.0.4,59.961900079130245,
0,Ms. Morrison was also distinguished for knowing most of the employees personally. ,None,None,None,,,,0,0,0,0,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.936108096968383,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p1,001,2019_Jun_27_1222,body_behavioural,3.0.4,59.961900079130245,
0,Ms. Bianchi watched in amusement as Ms. Morrison paid the $23 price by writing a check. ,4.0,3.0,None,,,,0,0,0,0,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7.503742942004465,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p1,001,2019_Jun_27_1222,body_behavioural,3.0.4,59.961900079130245,
0,"After Ms. Bianci addressed Ms. Morrison’s concerns, they came to an agreement and would have enough cheese shipments, $20,000 worth, to different stores to qualify for a subsidized import tax. ",4.0,4.0,None,,,,0,0,0,0,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7.636945113015827,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p1,001,2019_Jun_27_1222,body_behavioural,3.0.4,59.961900079130245,
0,"Ms. Morrison had had a small bottle of champagne in her purse, and she pulled it out and popped it in celebration of their deal. ",4.0,4.0,None,,,,0,0,0,0,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.153751106990967,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p1,001,2019_Jun_27_1222,body_behavioural,3.0.4,59.961900079130245,
0,Ms. Bianchi decided that she loved doing business with Americans. ,4.0,4.0,None,,,,0,0,0,0,,,,,0,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.4859211969887838,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p1,001,2019_Jun_27_1222,body_behavioural,3.0.4,59.961900079130245,
